"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	8.94174182875528e-09	6.73611217766231e-07	9.57415078707539
"CCA1"	5.60278113145288e-06	0.0002813841190463	4.85546218487395
"At3g09600"	3.07294822750312e-09	3.47243149707853e-07	6.00335677749361
"At5g52660"	1.01373479417197e-09	1.5273604232191e-07	6.55559434456275
"At4g01280"	4.39024395714424e-10	9.92195134314597e-08	5.8963481303302
"AT3G10113"	1.25125641497831e-06	7.06959874462747e-05	4.8617761799128
"EPR1"	2.35869882068855e-07	1.52304552421604e-05	6.81126959801957
"RVE1"	1.42188593699274e-05	0.000642692443520721	4.38557874762808
"LHY1"	6.16116100504656e-09	5.56968954856209e-07	4.85546218487395
"LCL1"	1.47658238117929e-10	6.67415236293039e-08	7.63120999695215
