"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	7.55368306995995e-05	0.0022761764984146	3.41272149023171
"BZR1_1"	0.000827503345244159	0.0170014323659254	2.54826108870968
"ABF2"	0.000438547899148198	0.00943922144833264	2.22726719415703
"CCA1"	7.27046319363887e-08	5.47708227254128e-06	3.19520737327189
"At3g09600"	9.52263716759153e-13	1.07605799993784e-10	3.92527173913043
"At5g52660"	6.50228297075474e-13	1.07605799993784e-10	4.14808078874318
"At4g01280"	1.72694898682554e-12	1.56116188409029e-10	3.69540712315625
"AT3G10113"	8.96042813015286e-05	0.00246588953213326	2.42375938588028
"AT5G67000"	0.000130728395444527	0.00310995972320664	4.55838008415147
"EPR1"	4.85891785777368e-05	0.00183019239309475	2.98816988816342
"PIF1"	0.00131097613311568	0.0257635309638386	2.68827543424318
"PIF4"	4.00212269010943e-05	0.00166595305214388	2.26152190221468
"RVE1"	8.18104301453445e-06	0.000462228930321196	2.64549427679501
"LHY1"	5.08743482682731e-16	2.29952054172595e-13	3.7087228439763
"LCL1"	7.49332645943968e-13	1.07605799993784e-10	4.50676917934147
