"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	2.27668211638801e-06	0.000205812063321476	2.34565295053749
"BZR2"	1.38267583353934e-05	0.000520807897299817	3.33949832389319
"BZR1_1"	5.73579634912792e-06	0.000288064438867313	3.85346798780488
"ABI5"	2.05090883205842e-06	0.000205812063321476	2.90271532993394
"ABF2"	1.13750665531039e-05	0.000514153008200297	3.01352968246664
"BEE2"	3.20127044990092e-06	0.000206710606193602	2.30574000766186
"BIM1"	1.3202782395813e-05	0.000520807897299817	2.01324041811847
"BIM2"	2.18775533609188e-06	0.000205812063321476	2.35034738606225
"BIM3"	1.17132606090013e-06	0.000205812063321476	2.42475618149162
"HY5"	0.000784677182489872	0.0236449390990281	4.4840354767184
"PIF4"	2.76121905076988e-06	0.000206710606193602	2.84988532392907
"MYC3"	7.15185217208522e-07	0.000205812063321476	2.48460559358767
"MYC4"	5.05524803966706e-05	0.00175767085686886	2.83626323055683
"UNE10"	3.99569809469742e-06	0.000225756942350404	2.55386346285209
