"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	6.00813823699316e-07	3.39459810390113e-05	4.74718309859155
"G.box"	9.58163444009693e-05	0.00312892886513133	2.00357856191744
"BIM2"	9.24907623263403e-05	0.00312892886513133	2.00758839226151
"CCA1"	6.23899069686614e-09	4.70003965830582e-07	3.78321428571429
"At3g09600"	4.99891465426519e-11	5.18605197653052e-09	4.08882472826087
"At5g52660"	5.73678315987889e-11	5.18605197653052e-09	4.28635014836795
"At4g01280"	5.24486438176153e-11	5.18605197653052e-09	3.87825278810409
"AT3G10113"	4.77678805910463e-06	0.000239900911412811	2.97415474642393
"AT5G67000"	0.000721897983483932	0.0155379946921303	4.57948369565217
"EPR1"	2.13712336878706e-07	1.37997108955965e-05	4.10095190380762
"PIF4"	0.000178604653156232	0.00474878254274216	2.31256319514661
"UNE10"	9.69137259111473e-05	0.00312892886513133	2.18142504118616
"RVE1"	5.36971400150208e-06	0.000242711072867894	2.95112903225806
"LHY1"	1.90918886067344e-13	8.62953365024394e-11	3.8077806122449
"LCL1"	1.92176596802161e-11	4.34319108772883e-09	4.78173575129534
"GBF6"	3.35795392826934e-05	0.00137981379597976	9.50328947368421
