"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	1.03840568237336e-05	0.000869703997181421	2.56458055925433
"BZR2"	0.000344373666119721	0.0111183497918653	3.38072669826224
"BZR1_1"	0.000343415328599631	0.0111183497918653	3.76171875
"ABI5"	0.000155265792791252	0.0070180138341646	2.86508753861998
"ABF2"	0.000101034748161683	0.00507418957434231	3.23018867924528
"BEE2"	1.34688672129866e-05	0.000869703997181421	2.52094240837696
"BHLH34"	0.00108764226538606	0.0258744370502369	2.93150684931507
"BIM1"	1.23420053408364e-05	0.000869703997181421	2.26455026455026
"BIM2"	1.00733587130583e-05	0.000869703997181421	2.56971314209473
"BIM3"	6.26106352859888e-06	0.000869703997181421	2.65106675843083
"PIF4"	0.000188304029298474	0.00773758374935546	2.81294236602629
"MYC3"	4.30508718968271e-06	0.000869703997181421	2.71650211565585
"MYC4"	0.000101034748161683	0.00507418957434231	3.23018867924528
"SPT"	0.000264517066917098	0.00996347618721068	2.92816419612315
"TCP15"	0.000732343434592277	0.0206887020272318	6.72955974842767
"TCP19"	0.000382034249524736	0.0115119653856787	7.7536231884058
"TCP20"	0.000915178950699317	0.0229811603175606	6.40718562874251
"UNE10"	2.65081570681953e-06	0.000869703997181421	2.99670510708402
