"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	4.78485252121698e-11	5.1188455351239e-09	2.39129808903444
"BZR2"	0.000275703292428814	0.00623089440889119	2.34366594082234
"BZR1_1"	2.03623191686038e-07	7.66980688684078e-06	3.3550464527027
"ABI5"	9.63065656223568e-05	0.00241836487007252	2.09073955520917
"BEE2"	1.86273397340917e-11	4.20977877990472e-09	2.40170864581859
"BHLH34"	2.41782896869868e-10	1.36607336731475e-08	3.31577193631988
"BIM1"	1.54469333413389e-10	9.97430552897884e-09	2.10694980694981
"BIM2"	4.44194885187256e-11	5.1188455351239e-09	2.39608387573698
"BIM3"	6.79492770149191e-11	5.1188455351239e-09	2.4182027864065
"bZIP68_1"	8.04094011007142e-05	0.00213794407632487	4.88006756756757
"bHLH77"	6.24551131128157e-07	2.01640793764234e-05	5.89291177970423
"PIF1"	2.39085230849536e-12	1.0806652434399e-09	4.88006756756757
"PIF3"	1.16802491284757e-07	4.79952055097365e-06	3.19785997601697
"PIF4"	6.33852701912373e-11	5.1188455351239e-09	2.9211324570273
"PIF5"	6.77251064561015e-07	2.04078320787719e-05	2.45024313015945
"MYC3"	6.08421207332557e-10	3.05562650793684e-08	2.36776197918652
"MYC4"	0.000258060933406812	0.00613913378420416	2.16073431922489
"SPT"	9.66659220498872e-08	4.3692996766549e-06	2.67096058430152
"TCP2"	0.00116119104556434	0.0238571978452309	2.92140099282956
"UNE10"	3.50993414592691e-07	1.22037710304536e-05	2.25110200810366
"PIF7"	0.000583143665149066	0.0125514731736847	5.71324983520106
