"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	1.00674388721014e-08	6.50068910027121e-07	5.12394366197183
"CCA1"	2.73211741019625e-09	2.05819511568118e-07	3.66857142857143
"At3g09600"	1.27388408461025e-09	1.15159121248767e-07	3.63451086956522
"At5g52660"	1.90385277889169e-10	2.1513536401476e-08	3.96884272997033
"At4g01280"	3.77173464500564e-11	8.52412029771275e-09	3.71251548946716
"AT3G10113"	4.69402547337815e-07	2.65212439245866e-05	3.06111833550065
"ATHB40"	1.87718455951575e-05	0.000707072850750931	10.5245901639344
"bZIP43"	0.000883024819153023	0.028509087018369	6.60493827160494
"bZIP48"	0.00128507295102122	0.0363033108663495	6.07954545454545
"bZIP68_1"	0.000342907422644658	0.0119226273104143	5.20138888888889
"EPR1"	1.45250772915894e-06	6.56533493579839e-05	3.64529058116233
"RVE1"	5.38441203737228e-07	2.70417137876919e-05	3.03741935483871
"LHY1"	1.12970002062242e-10	1.70208136440445e-08	3.27551020408163
"LCL1"	7.80480956714248e-13	3.5277739243484e-10	4.80483592400691
"GBF6"	5.55782821334368e-06	0.000228376213857395	9.85526315789474
"GBF3"	0.00128507295102122	0.0363033108663495	6.07954545454545
