"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"BZR2"	1.43152617000176e-19	3.80617546376939e-18	2.0008283654042
"BZR1_1"	3.01724596720117e-22	1.04907321321148e-20	2.2311626969914
"FHY3"	4.89477715425063e-08	7.90156883471888e-07	2.27138514221818
"FLC"	0.00628692284437803	0.032805002412282	2.27643266475645
"AT4G36780"	0.000452492764716831	0.00378753203059274	2.14613180515759
"bZIP68_1"	5.66119001971709e-07	8.82364789280043e-06	2.24194126074499
"bHLH31"	0.000175203691515376	0.00172156670793369	2.01549769527844
"bHLH77"	5.26818337922515e-10	9.15853418234526e-09	2.49899983781154
"bHLH69"	2.81014966196098e-06	4.09737950711729e-05	3.86303724928367
"FAR1"	3.0481855197193e-06	4.20111703809309e-05	2.21166254729981
"HY5"	3.36880368947048e-13	7.25094889352694e-12	2.48338108882521
"PIF1"	5.47549845819992e-17	1.37495850172576e-15	2.18887756226581
"PIF3"	7.1794143670781e-21	2.02818455869956e-19	2.09067349912475
"GBF3"	7.64147847659586e-05	0.000842426407663738	2.25761917165929
"PIF7"	1.88012834255653e-06	2.83272670278517e-05	2.62471171989657
