"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	5.54973073217726e-05	0.00278719810104902	2.42210386151798
"BZR2"	0.00163006933226673	0.0409328521213646	3.04265402843602
"ABI5"	3.00830287320246e-05	0.00278719810104902	3.08547888774459
"ABF2"	0.000101034748161683	0.00380564218075673	3.23018867924528
"ARF5"	0.000639484886885326	0.0180654480545105	3.13323572474378
"BEE2"	7.03765153195186e-05	0.00289183499312931	2.38089005235602
"BHLH34"	4.29261982454734e-05	0.00278719810104902	3.51780821917808
"BIM1"	1.23420053408364e-05	0.00278719810104902	2.26455026455026
"BIM2"	5.39782443466136e-05	0.00278719810104902	2.42695130086724
"BIM3"	3.49444639424881e-05	0.00278719810104902	2.50378527185134
"bZIP68_2"	4.48371668594515e-05	0.00278719810104902	2.20618556701031
"PIF1"	6.93965193988326e-05	0.00289183499312931	4.62980769230769
"PIF4"	3.72800934510068e-05	0.00278719810104902	3.02932254802831
"PIF5"	0.000602616153785754	0.0180654480545105	2.68619246861925
"MYC3"	2.4799718922796e-05	0.00278719810104902	2.56558533145275
"MYC4"	0.000496293235917755	0.0160231816167732	2.96100628930818
"SPT"	0.00116235321592173	0.0309049207998014	2.68415051311288
"UNE10"	0.000379532748441268	0.0131960617150349	2.46787479406919
