"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"BZR2"	1.09008474073211e-05	0.000447925729828104	2.26313109553092
"BZR1_1"	1.45709058043795e-05	0.000506619186429196	2.42490960743802
"ABF3"	0.000287602105690241	0.00704679146745202	2.56083635320802
"ABF2"	1.06861603521103e-06	5.36682719905984e-05	2.22242320286917
"AT4G18890"	0.00176934151238284	0.0363519256180474	3.23134281985957
"bZIP68_1"	0.00080598143568866	0.0173477909014893	3.31611570247934
"HY5"	0.000180586433050609	0.00480147457287503	3.03876784372652
"SOC1"	0.000296214685578735	0.00704679146745202	3.76000520596083
"PI"	0.00260347838999769	0.0490321763449565	2.23837809917355
"PIF3"	0.000374754930970344	0.00846946143992977	2.03720418582348
"GBF3"	0.00231743839838017	0.0455427024377321	3.79845980465815
