"TF1"	"TF2"	"Significant enriched Motifs"
"CCA1"	"CCA1"	"EE,bZIP43,bZIP48,LCL1,GBF6"
"CCA1_ZT02"	"CCA1"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,AT5G56840,bZIP43,bZIP48,EPR1,RVE1,LHY1,LCL1,GBF6"
"CCA1_ZT14"	"CCA1"	"AT1G19210"
"CRY2"	"CCA1"	""
"ELF3_ZT0_1"	"CCA1"	""
"ELF4_1"	"CCA1"	""
"FHY1"	"CCA1"	""
"LUX_ZT10_1"	"CCA1"	""
"LUX_ZT12_1"	"CCA1"	""
"PHYA"	"CCA1"	"EE,G.box,BIM2,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,AT5G67000,EPR1,PIF4,UNE10,RVE1,LHY1,LCL1,GBF6"
"PHYB"	"CCA1"	""
"PIF3"	"CCA1"	""
"PIF4"	"CCA1"	"EE,CCA1,At3g09600,At5g52660,At4g01280,EPR1,LHY1,LCL1"
"PIF5"	"CCA1"	""
"PRR5_1"	"CCA1"	"EE,CCA1,ERF105_2,At3g09600,At5g52660,At4g01280,AT3G10113,ATHB40,bZIP68_1,EPR1,RVE1,LHY1,LCL1,GBF6,GBF3"
"PRR7"	"CCA1"	"PIF1"
"PRR9_1"	"CCA1"	""
"TOC1_1"	"CCA1"	""
"CCA1"	"CCA1_ZT02"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,AT5G56840,bZIP43,bZIP48,bZIP68_1,EPR1,RVE1,LHY1,LCL1,GBF6,GBF3"
"CCA1_ZT02"	"CCA1_ZT02"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,AT5G56840,bZIP43,bZIP48,EPR1,RVE1,LHY1,LCL1,GBF6"
"CCA1_ZT14"	"CCA1_ZT02"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,bZIP43,bZIP48,bZIP68_1,EPR1,RVE1,LHY1,LCL1,GBF6,GBF3"
"CRY2"	"CCA1_ZT02"	"EE,EPR1,LHY1"
"ELF3_ZT0_1"	"CCA1_ZT02"	""
"ELF4_1"	"CCA1_ZT02"	""
"FHY1"	"CCA1_ZT02"	""
"LHY_1"	"CCA1_ZT02"	"EE,BZR1_1,BIM1,CCA1,AT3G10113,EPR1,RVE1,LCL1,GBF6"
"LUX_ZT10_1"	"CCA1_ZT02"	""
"LUX_ZT12_1"	"CCA1_ZT02"	""
"PHYA"	"CCA1_ZT02"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,bZIP43,EPR1,PIF5,RVE1,LHY1,LCL1,GBF6"
"PHYB"	"CCA1_ZT02"	""
"PIF3"	"CCA1_ZT02"	""
"PIF4"	"CCA1_ZT02"	"ME,EE,G.box,BEE2,BIM2,BIM3,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,MYC3,UNE10,RVE1,LHY1,LCL1,GBF6,GBF3"
"PIF5"	"CCA1_ZT02"	""
"PRR5_1"	"CCA1_ZT02"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,ATHB40,bZIP43,bZIP48,bZIP68_1,EPR1,RVE1,LHY1,LCL1,GBF6,GBF3"
"PRR7"	"CCA1_ZT02"	"PIF1"
"PRR9_1"	"CCA1_ZT02"	""
"TOC1_1"	"CCA1_ZT02"	""
"CCA1"	"CCA1_ZT14"	""
"CCA1_ZT02"	"CCA1_ZT14"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1,GBF6"
"CCA1_ZT14"	"CCA1_ZT14"	"AT1G19210"
"CRY2"	"CCA1_ZT14"	""
"ELF3_ZT0_1"	"CCA1_ZT14"	""
"ELF3_ZT4_1"	"CCA1_ZT14"	""
"ELF4_1"	"CCA1_ZT14"	""
"FHY1"	"CCA1_ZT14"	""
"LUX_ZT10_1"	"CCA1_ZT14"	""
"LUX_ZT12_1"	"CCA1_ZT14"	"The genes that are target of this intersection are not present in ATTRACTOR"
"PHYA"	"CCA1_ZT14"	"LHY1,GBF6"
"PHYB"	"CCA1_ZT14"	""
"PIF3"	"CCA1_ZT14"	""
"PRR5_1"	"CCA1_ZT14"	""
"PRR7"	"CCA1_ZT14"	"The genes that are target of this intersection are not present in ATTRACTOR"
"PRR9_1"	"CCA1_ZT14"	"The genes that are target of this intersection are not present in ATTRACTOR"
"TOC1_1"	"CCA1_ZT14"	""
"CCA1"	"CRY2"	"LHY1"
"CCA1_ZT02"	"CRY2"	"LHY1"
"CCA1_ZT14"	"CRY2"	""
"CRY2"	"CRY2"	"FHY3,ABF3,AT5G56840,CAMTA1,bHLH77,FAR1,HY5,PIF1,TCP15,TCP19,TCP20,PIF7"
"ELF4_1"	"CRY2"	""
"FHY1"	"CRY2"	""
"LHY_1"	"CRY2"	"BZR1_1,ABF3,ABF2,HY5,PIF3,TCP15,TCP19,TCP20"
"PHYA"	"CRY2"	"BZR2,FHY3,ABF3,ABI5,ABF2,BHLH34,AT5G45580,AT5G56840,CAMTA1,AT2G01060,HY5,PIF1,PIF3,PIF4,MYC3,MYC4,SPT"
"PHYB"	"CRY2"	""
"PIF3"	"CRY2"	"BZR1_1,ABF2,PIF1,WRKY12,WRKY38,WRKY45"
"PIF4"	"CRY2"	"ABF2"
"PIF5"	"CRY2"	"AT5G45580,AT2G01060,SPL11"
"PRR5_1"	"CRY2"	"FHY3,ABF3,AT5G45580,CAMTA1,FAR1,AT2G01060,HY5,PIF1,SPL11,TCP15,TCP20,PIF7"
"PRR7"	"CRY2"	""
"TOC1_1"	"CRY2"	"ABF2,CMTA2"
"CCA1"	"ELF3_ZT0_1"	""
"CCA1_ZT02"	"ELF3_ZT0_1"	""
"CCA1_ZT14"	"ELF3_ZT0_1"	""
"ELF3_ZT0_1"	"ELF3_ZT0_1"	""
"ELF3_ZT4_1"	"ELF3_ZT0_1"	""
"ELF4_1"	"ELF3_ZT0_1"	""
"FHY1"	"ELF3_ZT0_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"LUX_ZT10_1"	"ELF3_ZT0_1"	""
"LUX_ZT12_1"	"ELF3_ZT0_1"	""
"PHYB"	"ELF3_ZT0_1"	""
"PRR7"	"ELF3_ZT0_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"PRR9_1"	"ELF3_ZT0_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"CCA1"	"ELF3_ZT4_1"	""
"CCA1_ZT02"	"ELF3_ZT4_1"	"The genes that are target of this intersection are not present in ATTRACTOR"
"CCA1_ZT14"	"ELF3_ZT4_1"	""
"ELF3_ZT0_1"	"ELF3_ZT4_1"	""
"ELF3_ZT4_1"	"ELF3_ZT4_1"	""
"ELF4_1"	"ELF3_ZT4_1"	""
