"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	2.09223827615614e-06	0.000118211462602822	4.06901408450704
"CCA1"	1.68558517301519e-07	1.26980749700477e-05	3.16414285714286
"At3g09600"	9.14601322609447e-08	1.03349949454867e-05	3.14021739130435
"At5g52660"	1.62169424868455e-08	3.66502900202708e-06	3.42908011869436
"At4g01280"	1.19254286563765e-07	1.07805875053643e-05	2.98327137546468
"AT3G10113"	0.000176376505678049	0.00797221805664783	2.37932379713914
"EPR1"	0.00012357108237889	0.00620601435947316	2.89478957915832
"RVE1"	2.47038385551773e-07	1.59516214670573e-05	2.9821935483871
"LHY1"	7.63602174985121e-08	1.03349949454867e-05	2.75142857142857
"LCL1"	4.53021502260395e-09	2.04765719021699e-06	3.82538860103627
