"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	1.88834578790423e-06	0.000213383074033178	9.4943661971831
"CCA1"	0.000169945418839733	0.00960191616444492	4.815
"At3g09600"	1.29735013203614e-06	0.000195467419893445	5.88790760869565
"At5g52660"	6.04263225170331e-07	0.000136563488888495	6.42952522255193
"At4g01280"	2.87455015861688e-06	0.000259859334338966	5.36988847583643
"AT3G10113"	0.000310437288461762	0.0147441103815661	4.38296488946684
"EPR1"	1.8546577939505e-05	0.00119757903266518	6.75450901803607
"RVE1"	0.000326197132335534	0.0147441103815661	4.34903225806452
"LHY1"	1.51543381756122e-05	0.00114162680922945	4.4219387755102
"LCL1"	1.60277984958597e-07	7.24456492012859e-05	7.48445595854922
