"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	8.73131315068716e-10	3.9465535441106e-07	9.94647887323944
"CCA1"	8.48615965729131e-08	9.58936041273918e-06	5.50285714285714
"At3g09600"	1.81590365621172e-06	9.11987169564108e-05	4.79755434782609
"At5g52660"	7.3989041025063e-07	4.18038081791606e-05	5.23887240356083
"At4g01280"	3.06225542351498e-08	4.91058668690931e-06	5.17100371747212
"AT3G10113"	2.45441761194654e-07	1.84899460099973e-05	5.00910273081925
"EPR1"	3.25923895148848e-08	4.91058668690931e-06	7.07615230460922
"RVE1"	3.06309380802387e-06	0.000138451840122679	4.55612903225806
"LHY1"	3.31018375437855e-07	2.13743293854158e-05	4.25816326530612
"LCL1"	1.54218751593453e-07	1.39413751440482e-05	6.09844559585492
