"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	6.54047645372779e-07	5.91259071416993e-05	3.07749667110519
"BZR1_1"	0.00114627895014203	0.0323823803415124	3.9498046875
"ABF3"	0.000523308507570186	0.0168953889586946	5.46813880126183
"ABI5"	1.91791118802647e-06	0.000123842265283995	3.86786817713697
"ABF2"	0.000683988771753329	0.0206108616555003	3.27056603773585
"BEE2"	8.42812304667577e-07	6.34918602849575e-05	3.02513089005236
"BHLH34"	5.46826476039498e-05	0.00247165567169853	3.95753424657534
"BIM1"	1.85535900228563e-05	0.000975814949021567	2.44571428571429
"BIM2"	6.34988217767116e-07	5.91259071416993e-05	3.08365577051368
"BIM3"	4.00083841112949e-07	5.91259071416993e-05	3.181280110117
"bZIP68_2"	0.000520091764817669	0.0168953889586946	2.19457406402604
"HY5"	7.04498729593831e-05	0.00289484932524011	7.87909090909091
"PIF1"	0.000324220261738339	0.0122122965254774	4.86129807692308
"PIF4"	1.94299436752082e-05	0.000975814949021567	3.50535894843276
"MYC3"	2.78424797281928e-07	5.91259071416993e-05	3.25980253878702
"SPT"	0.00141806449341591	0.0377038324131759	2.96476624857469
"UNE10"	3.36475143544845e-07	5.91259071416993e-05	3.56960461285008
