"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	7.3525167446962e-08	8.30834392150671e-06	2.82103861517976
"BZR1_1"	2.72510934002115e-05	0.00102645785140797	4.137890625
"ABI5"	7.98937008686824e-07	5.15885039894921e-05	3.37198764160659
"ABF2"	0.000338272986608413	0.0109213849962145	2.90716981132076
"BEE2"	1.02731663467876e-07	9.28694237749599e-06	2.77303664921466
"BHLH104"	0.00117886670860152	0.0313439854286992	14.0926829268293
"BHLH34"	0.000679677162734399	0.0192008798472468	2.90219178082192
"BIM1"	9.50345332528683e-07	5.36945112878706e-05	2.34380952380952
"BIM2"	7.07102326283353e-08	8.30834392150671e-06	2.8266844563042
"BIM3"	3.84049265137528e-08	8.30834392150671e-06	2.91617343427392
"PIF1"	3.68836854848524e-06	0.000185238064879481	5.09278846153846
"PIF3"	0.00216168419170442	0.0488540627325199	2.9580204778157
"PIF4"	6.38439164652473e-06	0.000288574502422918	3.11587462082912
"PIF5"	0.000483367684535072	0.0145654795606568	2.61903765690377
"MYC3"	2.37672729102687e-08	8.30834392150671e-06	2.98815232722144
"MYC4"	0.000338272986608413	0.0109213849962145	2.90716981132076
"SPT"	7.66141618468909e-06	0.000314814555952679	3.29418472063854
"TGA6"	0.00167558527932784	0.0420758081253434	3.86303724928367
"TGA7"	0.00194155588685343	0.0461885926767237	3.7659217877095
"UNE10"	5.87749756035962e-07	4.42771482880425e-05	3.01433278418451
