"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	6.80859069268049e-08	7.69370748272895e-06	2.76493841544607
"BZR2"	0.000371700824579406	0.0120006266221351	3.13773696682464
"BZR1_1"	0.00137545026084343	0.0345390843278461	3.1739501953125
"ABI5"	1.471723483628e-05	0.000739132238444282	2.97528321318229
"ABF2"	0.000678599839526494	0.0191704454666235	2.72547169811321
"BEE2"	9.62402796258474e-08	8.7001212781766e-06	2.71789103403141
"BHLH34"	2.04612488194747e-06	0.000132121206662894	3.71018835616438
"BIM1"	1.63753272483181e-07	1.23360798603997e-05	2.38839285714286
"BIM2"	6.53903238890376e-08	7.69370748272895e-06	2.77047198132088
"BIM3"	3.47631990399563e-08	7.69370748272895e-06	2.85818134893324
"bZIP68_2"	8.82825000504949e-05	0.00365517171171487	2.05741318502442
"HY5"	0.000157271093334637	0.00546819493748124	5.74517045454545
"PIF1"	0.00152278616792645	0.0362262814685661	3.47235576923077
"PIF4"	8.89532938691673e-05	0.00365517171171487	2.73856167846309
"PIF5"	0.00101445877621886	0.0269726686382896	2.45534780334728
"MYC3"	2.11499414709477e-08	7.69370748272895e-06	2.92872884344147
"MYC4"	0.000678599839526494	0.0191704454666235	2.72547169811321
"SPT"	0.00010053910798904	0.00378697306758719	2.88241163055872
"UNE10"	2.41641805685776e-06	0.000136527620212463	2.82593698517298
