"TF1"	"TF2"	"Peak ZT"	"Trough ZT"	"Significant enriched Motifs"
"CCA1"	"LHY"	"ZT8"	"ZT0"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"LHY"	"ZT8"	"ZT4"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"PRR5"	"ZT8"	"ZT4"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"PRR7"	"ZT0"	"ZT16"	""
"CCA1"	"PRR9"	"ZT0"	"ZT16"	""
"CCA1"	"PRR9"	"ZT4"	"ZT16"	""
"CCA1"	"PHYA"	"ZT8"	"ZT4"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"PHYA"	"ZT8"	"ZT16"	""
"CCA1"	"LUX"	"ZT8"	"ZT16"	""
"CCA1"	"PIF4"	"ZT8"	"ZT4"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"PIF5"	"ZT8"	"ZT4"	"EE,CCA1,At3g09600,At5g52660,At4g01280,AT3G10113,EPR1,RVE1,LHY1,LCL1"
"CCA1"	"ELF4"	"ZT4"	"ZT16"	""
"LHY"	"TOC1"	"ZT0"	"ZT8"	"G.box,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,CMTA2,CMTA3,dof4.2,HY5,MYC3,SPT"
"LHY"	"PRR9"	"ZT0"	"ZT8"	""
"LHY"	"PHYA"	"ZT0"	"ZT8"	"FHY3,ABF2,AT3G12730,PIF1,MYC4"
"LHY"	"PHYA"	"ZT0"	"ZT12"	""
"LHY"	"PHYB"	"ZT0"	"ZT12"	""
"LHY"	"CRY2"	"ZT0"	"ZT8"	""
"LHY"	"CRY2"	"ZT0"	"ZT12"	""
"LHY"	"FHY1"	"ZT0"	"ZT8"	""
"LHY"	"FHY1"	"ZT0"	"ZT12"	""
"LHY"	"PIF5"	"ZT0"	"ZT8"	"FHY3,BHLH34,At3g11280,PIF1"
"LHY"	"PIF5"	"ZT0"	"ZT12"	""
"LHY"	"ELF4"	"ZT0"	"ZT16"	""
"LHY"	"ELF4"	"ZT4"	"ZT16"	""
"LHY"	"ELF4"	"ZT8"	"ZT16"	""
"TOC1"	"PRR5"	"ZT0"	"ZT8"	"CMTA2"
"TOC1"	"PRR7"	"ZT0"	"ZT16"	""
"TOC1"	"PRR7"	"ZT4"	"ZT20"	""
"TOC1"	"PRR9"	"ZT0"	"ZT16"	""
"TOC1"	"PHYA"	"ZT0"	"ZT8"	""
"TOC1"	"PHYA"	"ZT0"	"ZT12"	""
"TOC1"	"PHYA"	"ZT0"	"ZT16"	""
"TOC1"	"PHYA"	"ZT16"	"ZT4"	""
"TOC1"	"PHYB"	"ZT0"	"ZT8"	""
"TOC1"	"PHYB"	"ZT0"	"ZT12"	""
"TOC1"	"PHYB"	"ZT0"	"ZT16"	""
"TOC1"	"CRY2"	"ZT0"	"ZT8"	""
"TOC1"	"CRY2"	"ZT0"	"ZT12"	""
"TOC1"	"CRY2"	"ZT8"	"ZT0"	""
"TOC1"	"CRY2"	"ZT16"	"ZT4"	""
"TOC1"	"LUX"	"ZT0"	"ZT16"	""
"TOC1"	"PIF4"	"ZT0"	"ZT8"	"CMTA2"
"TOC1"	"PIF4"	"ZT0"	"ZT12"	""
"TOC1"	"PIF5"	"ZT0"	"ZT8"	"CMTA2"
"TOC1"	"PIF5"	"ZT0"	"ZT12"	""
"TOC1"	"PIF5"	"ZT4"	"ZT16"	""
"TOC1"	"PIF5"	"ZT12"	"ZT4"	""
"TOC1"	"PIF5"	"ZT16"	"ZT4"	""
"TOC1"	"PIF5"	"ZT16"	"ZT8"	""
"TOC1"	"ELF4"	"ZT0"	"ZT16"	""
"PRR5"	"PRR7"	"ZT0"	"ZT16"	""
"PRR5"	"PRR9"	"ZT0"	"ZT8"	""
"PRR5"	"PRR9"	"ZT0"	"ZT12"	""
"PRR5"	"PRR9"	"ZT0"	"ZT16"	"G.box,BZR1_1,ABI5,ABF2,BEE2,BIM1,BIM2,BIM3,HY5,PIF1,PIF4,MYC3,UNE10"
"PRR5"	"PRR9"	"ZT4"	"ZT16"	""
"PRR5"	"PHYA"	"ZT0"	"ZT8"	"FHY3,ABF3,ABI5,ABF2,CAMTA1,HY5,PIF1,MYC4,TCP2"
"PRR5"	"PHYA"	"ZT0"	"ZT12"	""
"PRR5"	"PHYA"	"ZT0"	"ZT16"	"G.box,BZR2,BZR1_1,ABI5,ABF2,BEE2,BHLH34,BIM1,BIM2,BIM3,bZIP68_2,HY5,PIF1,PIF4,PIF5,MYC3,MYC4,SPT,UNE10"
"PRR5"	"PHYA"	"ZT16"	"ZT8"	""
"PRR5"	"CRY2"	"ZT0"	"ZT8"	""
"PRR5"	"CRY2"	"ZT0"	"ZT12"	""
"PRR5"	"FHY1"	"ZT0"	"ZT8"	""
"PRR5"	"LUX"	"ZT0"	"ZT16"	""
"PRR5"	"LUX"	"ZT4"	"ZT16"	""
"PRR5"	"LUX"	"ZT8"	"ZT16"	""
"PRR5"	"PIF4"	"ZT0"	"ZT8"	"FHY3,ABF3,ABF2,AT4G18890,HY5,MYC4"
"PRR5"	"PIF4"	"ZT0"	"ZT16"	"G.box,BZR1_1,ABF3,ABI5,BEE2,BHLH34,BIM2,BIM3,AT5G45580,HY5,PIF1,PIF4,PIF5,MYC3,MYC4,TGA6,TGA7,UNE10"
