"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	2.98538233790203e-23	1.49932535192413e-21	4.76591704925687
"CCA1"	5.7310819182164e-29	6.47612256758454e-27	3.69390686661405
"At3g09600"	5.30207053456921e-29	6.47612256758454e-27	3.59997297621907
"At5g52660"	6.70051979689541e-27	6.05726989639345e-25	3.64694984999262
"At4g01280"	4.31380620948234e-26	3.24973401114336e-24	3.28324672924069
"AT3G10113"	8.24395454521925e-24	4.65783431804888e-22	3.23792828456272
"bZIP43"	3.77511449531829e-05	0.00142195979323655	4.33517495395948
"bZIP48"	8.23480199150445e-05	0.00286317730781539	3.99033149171271
"bZIP68_1"	0.00174224833393513	0.0437497914965933	2.66022099447514
"EPR1"	1.09206680344532e-20	4.93614195157283e-19	3.77442177172024
"RVE1"	2.54763472517333e-24	1.64504413682621e-22	3.25405097130636
"LHY1"	6.18708682618415e-32	2.79656324543523e-29	3.22483932799639
"LCL1"	1.72052838807403e-31	3.88839415704732e-29	4.24532676838519
"GBF6"	2.04379923158086e-05	0.00083981568424959	4.62038383250945
"GBF3"	0.00161300232645331	0.0428868853856997	3.26481667503767
