"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	2.23782807212788e-10	1.685830481003e-08	4.83882755995432
"BZR1_1"	0.00177102506253682	0.0256191337675919	2.2875316722973
"BHLH34"	0.00163180277796287	0.0249966060948513	2.03224731580896
"CCA1"	2.22181424244681e-09	1.43465719655137e-07	3.23478764478764
"At3g09600"	5.63578109653624e-15	1.05563983545721e-12	3.92527173913043
"At5g52660"	1.2412828607601e-13	1.40264963265892e-11	3.93880824444623
"At4g01280"	6.99207381482283e-13	6.32083472859984e-11	3.48317090324525
"AT3G10113"	1.32487286234895e-06	5.98842533781723e-05	2.63993252029663
"AT5G56840"	0.00165906677620695	0.0249966060948513	4.01887917329094
"bZIP43"	7.49370002855368e-06	0.000225810160860418	7.71171171171171
"bZIP48"	1.39402498235524e-05	0.000350055162235871	7.0982800982801
"bZIP68_1"	8.04094011007142e-05	0.00165204769534195	4.88006756756757
"At1g19000"	0.00258795943056716	0.0344046371357752	3.71814671814672
"EPR1"	4.99779744568271e-09	2.82375555681073e-07	3.75540269728647
"PIF1"	0.00211465571457886	0.0289643752421105	2.44003378378378
"PIF3"	0.000923748170418247	0.0152781073543861	2.26515081634536
"PIF4"	4.62501266492121e-05	0.00104525286227219	2.13163719837127
"TGA1"	0.00094643142903277	0.0152781073543861	2.18918918918919
"SPT"	0.000396206696302832	0.00746189278037001	2.0477364479645
"RVE1"	1.00950013790192e-07	5.06993402590744e-06	2.82099389712293
"LHY1"	7.00645908489302e-15	1.05563983545721e-12	3.34633204633205
"LCL1"	1.25577344638057e-15	5.6760959776402e-13	4.58507211875088
"GBF6"	4.62368740568196e-06	0.000174158892280687	8.21906116642959
"GBF3"	0.000849527499270923	0.0147687088334791	5.32371007371007
"PIF7"	0.000583143665149066	0.0105432374658951	5.71324983520106
