"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	1.98177738532162e-22	1.11970422270671e-20	4.08603924804054
"CCA1"	1.66799456518511e-27	1.50786708692734e-25	3.21191870890616
"At3g09600"	4.56759060619496e-30	6.88183651333374e-28	3.25189876296162
"At5g52660"	8.0263479552056e-29	9.06977318938233e-27	3.33582061755832
"At4g01280"	1.078449951187e-26	8.12432296560873e-25	2.96579614565025
"AT3G10113"	1.00418203051943e-21	5.04322530883093e-20	2.79797160905594
"bZIP43"	2.28638767487632e-05	0.000543919594233735	3.88005578800558
"bZIP48"	5.64864740845798e-05	0.00111008201244479	3.57141498668695
"bZIP68_1"	0.000266942831751653	0.00482632639806988	2.68619246861925
"bZIP16"	0.000783045602756235	0.0131087634239192	2.75688174410923
"EPR1"	2.27583699925427e-19	1.02867832366293e-17	3.24604019754991
"RVE1"	4.68812074783179e-24	3.02718654002852e-22	2.90108786610879
"LHY1"	1.42319124128282e-34	6.43282441059836e-32	2.98496285543506
"LCL1"	7.33054851099337e-32	1.6567039634845e-29	3.75788583692848
"GBF6"	1.11877100807386e-05	0.00029746146802905	4.13532261616384
"GBF3"	0.000918909950249461	0.0143223206038881	3.02196652719665
"PIF7"	0.000500310036245269	0.00869769755318699	3.24308602918665
