"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	1.93099769095402e-05	0.000623436397365154	3.43860345169609
"G.box"	2.08443529056575e-06	0.000209952147214214	2.00470733857204
"BZR1_1"	3.04434564020114e-05	0.000917362819580609	2.86102552816901
"ABI5"	0.000125531218857457	0.00270191004397956	2.09526986843823
"ABF2"	0.000382854310001749	0.0078659158236723	2.14966781823014
"BIM2"	1.97863015926911e-06	0.000209952147214214	2.00871942797546
"BIM3"	2.85555856593636e-06	0.000209952147214214	2.01630429514458
"CCA1"	1.8386939349696e-05	0.000623436397365154	2.55766599597586
"At3g09600"	4.06215928514808e-05	0.00108005646875702	2.43256276791182
"At5g52660"	9.98508438926918e-06	0.000451325814394967	2.65632966941113
"At4g01280"	5.45718015191414e-05	0.00129823443613957	2.31938844965705
"AT3G10113"	7.3274134368502e-06	0.000413998859182036	2.53982673675342
"bZIP68_1"	0.00181028138484512	0.0314710456134613	3.95598591549296
"EPR1"	7.95855202052599e-05	0.00179863275663887	2.77247452651782
"PIF3"	1.50125708235885e-05	0.000565473501021835	2.77748401672836
"TGA1"	0.00156701531897146	0.028331636967004	2.15492957746479
"SPT"	0.000552175589148135	0.0103993069289565	2.04146658743797
"UNE10"	3.85415022062602e-05	0.00108005646875702	2.01104485230991
"RVE1"	8.39669178561112e-06	0.000421700520788469	2.52016356201726
"LHY1"	1.46621256763512e-06	0.000209952147214214	2.40819200919805
"LCL1"	3.23420070499354e-06	0.000209952147214214	2.95161643435744
"GBF6"	0.00228321107398795	0.0382226446460204	5.35396590066716
"PIF7"	0.000466334135886922	0.00916447954003864	5.95465475781518
