"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	2.73893851403381e-08	1.37555578704809e-06	2.79487836107554
"CCA1"	3.33954381695433e-11	3.01894761052672e-09	2.41792207792208
"At3g09600"	2.65658621312963e-11	3.00194242083648e-09	2.37895256916996
"At5g52660"	6.83457241536343e-12	1.54461336587214e-09	2.51119503641759
"At4g01280"	3.42076531080012e-09	2.20883702925951e-07	2.13349104427171
"AT3G10113"	1.16944487953253e-08	6.60736356935879e-07	2.1250738858021
"bZIP43"	2.92453659478946e-06	8.81260360563225e-05	4.68350168350168
"bZIP48"	7.57136563102647e-06	0.00016539374554719	4.31095041322314
"bZIP68_1"	1.60272384458552e-06	5.57254752117428e-05	3.64772727272727
"EPR1"	2.03108655677319e-07	9.1805112366148e-06	2.33922390235016
"TCP4"	0.000749902082780119	0.0109340561747295	2.37364071335363
"TCP15"	0.000324499337037238	0.00505771380485626	2.75300171526587
"TCP19"	0.000242019270845289	0.00390688251507395	2.9604743083004
"TCP20"	0.000171072385174926	0.00286387844811357	2.79586281981492
"RVE1"	6.90050090654064e-10	5.19837734959395e-08	2.22158357771261
"LHY1"	1.96826985990488e-12	8.89657976677008e-10	2.20352504638219
"LCL1"	2.41002253224721e-11	3.00194242083648e-09	2.62081959491286
"GBF6"	1.38387123347637e-06	5.21258164609432e-05	4.99162679425837
"GBF3"	3.9122306548592e-05	0.000680126252306291	3.97933884297521
"PIF7"	0.00182530015953812	0.0250010809730676	3.20288248337029
