"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"BZR1_1"	0.00178676206237852	0.0323046580878036	2.15559164325843
"FHY3"	6.5233015512889e-06	0.000294853230118259	4.75034255960537
"ABF3"	0.00316089845012152	0.0460879386920944	2.45759047247723
"ABI5"	8.96501052369427e-06	0.000368380432428164	2.13952950161423
"ABF2"	3.41499540061244e-07	3.85894480269206e-05	2.5315242739029
"BHLH34"	6.74872336952776e-05	0.00190651435189159	2.22333384639064
"ERF018"	0.000286944596614508	0.00720549764831987	2.53133697556953
"ESE3"	0.00330647908774249	0.0467040171143626	4.91828396322778
"FAR1"	0.000851981882911891	0.0183378957655321	3.96466249249507
"HY5"	0.000506004458427075	0.0120375797478441	3.24606741573034
"PIF1"	1.31475905042841e-05	0.000495225908994702	2.9651577355229
"PIF3"	5.33990770757799e-05	0.00160909218921683	2.43732024389309
"PIF4"	1.35853144832799e-07	2.77281913981779e-05	2.36316333602209
"MYC3"	8.48954755710231e-08	2.77281913981779e-05	2.06026845850303
"MYC4"	0.000100899367581373	0.0026827361262812	2.12321390714437
"SPT"	2.71381278748072e-05	0.000876173842815203	2.14677206513523
"TCP15"	0.00294031878758483	0.0454118489148808	3.26648293406826
"GT3a"	0.00344847709431931	0.0472336862615857	6.33379007947383
"WRKY29"	0.000962605308811157	0.0197771636173929	2.6792937399679
"WRKY17"	0.0021426840783863	0.0358701186455781	3.85126642544277
