"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"FHY3"	9.74290929259718e-06	0.000231778684223891	3.2191407700879
"F3A4.140"	0.00362235738380793	0.0380768729646787	2.90076421040888
"ABF3"	7.713098992402e-06	0.000205077690856806	2.49813447773383
"ABI5"	7.73616655361406e-11	4.99535326033365e-09	2.11441446622091
"ABF2"	5.83110192678938e-11	4.63191153170036e-09	2.28736711043004
"bHLH77"	0.000974579131336565	0.0129561696283567	2.58251125371133
"FAR1"	0.000477095879119794	0.00717920487159128	2.91060564962995
"HY5"	3.24057424716541e-07	1.04624254265626e-05	3.19963082602677
"PIF1"	3.38639258697063e-09	1.53064944931073e-07	2.74968274111675
"PIF4"	1.41041628809911e-09	7.08342402467555e-08	2.01661936119651
"TCP19"	0.00247994297329471	0.0280233555982302	2.55043036857206
"TCP20"	0.00438020348940867	0.0439967106047271	2.28316970120672
"PIF7"	9.19726880926096e-05	0.00188962068262998	3.93450538566299
