"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	0.000196723661727098	0.00987989945562761	2.25506221589605
"BZR2"	0.000667182442436645	0.0215404617129545	3.14757313286485
"BZR1_1"	0.00062477235359712	0.0215404617129545	3.50228987068965
"ABI5"	2.75157233600687e-06	0.000414570231958368	3.28307113178735
"ABF2"	4.63112170560965e-05	0.0052331675273389	3.25803513337671
"BEE2"	0.000246755173321983	0.0111533338341536	2.21669073840043
"BIM1"	2.25749310876446e-06	0.000414570231958368	2.3192118226601
"BIM2"	0.000191579802947156	0.00987989945562761	2.2595753490833
"BIM3"	0.000126430142978749	0.00816377494662779	2.33111042551677
"bZIP68_2"	1.39846934326804e-06	0.000414570231958368	2.37835612850113
"HY5"	0.000647598515588512	0.0215404617129545	5.43385579937304
"PIF4"	0.000102640853973258	0.0077322776659854	2.82040375161257
"MYC3"	9.10378067239834e-05	0.0077322776659854	2.38864841204222
"GT.1"	0.000745720479434891	0.0224710437803047	2.4929142743354
