"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"FHY3"	3.82571243523186e-08	7.86010009420364e-07	2.3206513801665
"ABF3"	1.23692624329468e-10	3.10605923316221e-09	2.07374525397155
"CAMTA1"	1.51417694467454e-05	0.000213877493435278	2.10064157399487
"At5g08330"	5.08231905310811e-05	0.000675649474119079	3.01733741818688
"At1g72010"	0.000159840255227714	0.00200688320452575	2.66144633809304
"bHLH74"	0.00549047386047523	0.0400273255634645	2.76790419161677
"FAR1"	3.58614485934086e-07	6.48374990568827e-06	2.37701695844951
"HY5"	8.10049116585186e-08	1.59192261172393e-06	2.0837915078933
"TCP15"	2.75264369354432e-06	4.14731649827344e-05	2.12162467517795
"TCP19"	4.00283297213433e-06	5.83638872066038e-05	2.1937646446238
"TCP20"	5.4975427556165e-07	9.55726663668715e-06	2.17537380329162
"LEP"	0.0003747662865731	0.00445774635608004	3.32680792261631
"TCP7"	3.26095034273907e-05	0.0004466513802782	2.69416903897124
