"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"FHY3"	4.70080115198389e-06	7.50668997448387e-05	2.02879213483146
"ABF3"	1.66925768399536e-10	4.19169151758834e-09	2.02239215964272
"CAMTA1"	9.10980072168793e-06	0.000124776664430392	2.08675762439807
"At5g08330"	0.000107053055408866	0.00130778327148128	2.83087274627646
"At1g72010"	0.00109059868251183	0.0114639675464034	2.34091400172861
"AT4G18890"	1.84668220615155e-05	0.000245500105053088	2.07455436343668
"bHLH31"	3.77140685011533e-05	0.000487050256072037	2.11700048851979
"bHLH74"	0.00203132274290933	0.018737915914184	2.9214606741573
"FAR1"	4.81623914292107e-06	7.50668997448387e-05	2.16817480058324
"HY5"	8.64827193682916e-11	2.29942289143928e-09	2.28700204290092
"TCP16"	0.00049458535471553	0.00558881450828549	2.13023174157303
"TCP15"	2.0118447987064e-06	3.49751480390498e-05	2.09259062963748
"TCP19"	9.38950414962e-08	1.92911630710375e-06	2.35222276502198
"TCP20"	4.41002548620174e-07	8.66665878157906e-06	2.13812823790621
"TCP7"	7.94343118885702e-05	0.000997341915934271	2.52767544667526
