"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	6.86554798232154e-07	3.87903461001167e-05	2.88515312916112
"BZR2"	1.63692560961189e-05	0.000569146442726597	4.18364928909953
"BZR1_1"	2.04043576729387e-06	9.22276966816829e-05	5.17236328125
"ABI5"	6.92801851047375e-08	1.56573218336707e-05	3.96704428424305
"ABF2"	4.01704984225959e-07	3.3551631249449e-05	4.23962264150943
"BEE2"	9.05522008802237e-07	4.5477327553179e-05	2.83606020942408
"BHLH34"	6.36593728542105e-05	0.0020552883235788	3.6277397260274
"BIM1"	4.45375636054633e-07	3.3551631249449e-05	2.54761904761905
"BIM2"	6.64732850044874e-07	3.87903461001167e-05	2.89092728485657
"BIM3"	4.01211636650605e-07	3.3551631249449e-05	2.98245010323469
"bZIP68_2"	2.49232648304364e-06	0.000102411960939611	2.4819587628866
"HY5"	0.00179596184144072	0.0477514560194827	5.47159090909091
"PIF1"	0.00112477022702835	0.0317747589135508	4.05108173076923
"PIF4"	8.52281483841168e-09	3.85231230696208e-06	4.13827098078868
"MYC3"	2.69826012450274e-07	3.3551631249449e-05	3.05606488011284
"MYC4"	3.31861102077026e-06	0.00012500101511568	3.93679245283019
"UNE10"	0.000352051807948345	0.0106084944795101	2.57804777594728
