"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"FHY3"	1.17756673892071e-08	1.97133394811912e-07	2.09001653575858
"At5g08330"	0.00231746669016424	0.0134294223583877	2.13514978320851
"At1g72010"	0.00270085208072532	0.0154529764618715	2.00101857887875
"bZIP68_1"	1.34867084828006e-08	2.17714008365209e-07	2.16777012711864
"bHLH74"	0.00400840079232855	0.0210674088154942	2.44830508474576
"bHLH77"	2.67529036496395e-08	4.16976291366795e-07	2.07874960025584
"bHLH69"	3.39922562081222e-06	4.15256751515439e-05	3.26440677966102
"FAR1"	7.55956160432822e-07	1.00497701328128e-05	2.05582869711476
"HY5"	4.51405458818793e-12	1.02017633693047e-10	2.14226694915254
"TGA10"	0.00167319032192542	0.0101293599734661	2.0810593220339
"GBF3"	3.16472917283031e-05	0.000317879463582067	2.08662365177196
"PIF7"	6.40327405922688e-06	7.61652598623829e-05	2.2393034311699
