"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"EE"	8.77748593251474e-07	5.66774805928095e-05	3.70846853271528
"CCA1"	2.84731336981186e-09	6.43492821577481e-07	3.13453887884268
"ERF105_2"	0.00163762001016253	0.0493469496395641	4.03129672082129
"At3g09600"	4.07450852120328e-08	4.6041946289597e-06	2.88184507429829
"At5g52660"	1.04409702817179e-07	9.43863713467302e-06	2.92991022799835
"At4g01280"	1.99556356610686e-08	3.00664910626767e-06	2.80956190296927
"AT3G10113"	5.37272996286159e-06	0.000269830438134827	2.47284818356899
"ATHB40"	0.000164642797807995	0.00620154538410114	7.19402365636024
"bZIP68_1"	0.000717139886664894	0.0249344022132717	4.06329113924051
"EPR1"	2.8519243558853e-05	0.00128906980886016	2.78486086096243
"RVE1"	1.80521876191106e-06	0.000101994860047975	2.54807676602695
"LHY1"	1.46835414067342e-07	1.10616011930731e-05	2.46285197623353
"LCL1"	7.76833289097816e-10	3.51128646672213e-07	3.53695809011609
"GBF6"	6.99663237480008e-05	0.00287497984855422	6.736508994004
"GBF3"	0.00119963462766914	0.0387310608361749	4.9867663981588
