"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"At5g08330"	0.0008879166674758	0.00608088384392518	2.01664278628899
"At1g72010"	0.000257851797096493	0.0023309802457523	2.01868392271236
"bHLH31"	1.66932864300666e-08	2.51512182213004e-07	2.06371316711313
"bHLH74"	0.00341945434331131	0.0178362816157428	2.19071090047393
"bHLH77"	7.77426699205517e-11	1.30146988163294e-09	2.03800411338639
"bHLH69"	6.83618745860633e-06	8.13146508234226e-05	2.73838862559242
"HY5"	1.69686895433789e-17	3.83492383680363e-16	2.15751831107281
"LEP"	0.00510299618050514	0.0245378114211524	2.10645278891724
"TCP17"	0.0015513602265332	0.00947587597828388	2.73838862559242
"TCP7"	2.46474900571891e-05	0.000259085244322081	2.09494211793955
"PIF7"	5.89248613279185e-08	8.07092040006641e-07	2.22633221592879
