"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	4.92513726113034e-08	3.71027007005152e-06	2.45544947162648
"BZR2"	2.05646984853083e-05	0.000663945979668524	3.10739134818998
"BZR1_1"	6.90079765673689e-06	0.000259930045070423	3.60164561170213
"ABI5"	6.31024963814634e-08	4.07461833777449e-06	3.0385871113351
"ABF2"	2.30078676340751e-07	1.15550624117799e-05	3.24737053392212
"BEE2"	7.50576838757554e-08	4.24075913898018e-06	2.41366826333965
"BHLH34"	0.00143691926522667	0.0360826393268031	2.35767997668318
"BIM1"	4.76220737864199e-09	1.07625886757309e-06	2.27659574468085
"BIM2"	4.68853098290145e-08	3.71027007005152e-06	2.46036364668644
"BIM3"	2.16769935112933e-08	2.44950026677614e-06	2.53825540700824
"bZIP68_2"	2.24546266933087e-09	1.01494912653755e-06	2.33465325960218
"bZIP68_1"	0.000140852243481807	0.00397907587836105	5.97606382978723
"HY5"	0.000338670398314395	0.00900464823753567	4.47040618955513
"PIF4"	9.03145988771793e-06	0.000314016913019116	2.61037368500312
"MYC3"	1.17952555190193e-08	1.77715183153224e-06	2.60090628094709
"MYC4"	5.44207353653868e-06	0.000223619748955953	2.93809714973906
"SPT"	8.89848151063426e-05	0.00268140909520446	2.5232053179359
"UNE10"	4.61964921196439e-06	0.00020880814438079	2.43036909811069
