"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"G.box"	0.000491132441316779	0.0249112257801391	3.3660119840213
"FHY3"	4.00788462494884e-05	0.0181156385047688	17.6158536585366
"ABI5"	0.000457205614284731	0.0249112257801391	4.46292481977343
"BEE2"	0.000551133313719892	0.0249112257801391	3.30873691099476
"BIM2"	0.000484578015125947	0.0249112257801391	3.37274849899933
"BIM3"	0.000392930182733652	0.0249112257801391	3.47952512044047
"bZIP68_1"	0.00077450812057679	0.0318252427727918	15.046875
"HY5"	0.000126920421167089	0.0191226767891747	13.1318181818182
"PIF4"	0.000507449807174707	0.0249112257801391	4.38169868554095
"MYC3"	0.000333408114696306	0.0249112257801391	3.56540902679831
"UNE10"	0.000116533345441128	0.0191226767891747	4.16453871499176
