"sig.enrich.motifs"	"final.p.values"	"final.q.values"	"final.enrichments"
"BZR2"	2.57667486044076e-05	0.000831897883513732	2.20592417061611
"BZR1_1"	1.21670508111625e-06	6.11056329627272e-05	2.633203125
"ABF3"	8.09796543002344e-05	0.00215310610257094	2.73406940063091
"ABF2"	2.82371255527753e-07	3.79035877753703e-05	2.30150943396226
"bZIP52"	0.000208528280489185	0.00471273913905557	4.87594936708861
"bZIP68_1"	0.000177989116234727	0.00423426739674192	3.678125
"HY5"	0.000165181304208045	0.00414788608344646	3.06409090909091
"PIF1"	0.000310306355404286	0.00667897488774939	2.31490384615385
"SOC1"	0.00120666806713728	0.0209774602440789	3.41220472440945
"PI"	0.00086411709222322	0.0156232370273958	2.4075
"PIF3"	0.000327869738897422	0.00673623281734703	2.05418088737201
"PIF4"	1.38993189598548e-06	6.28249216985435e-05	2.04479271991911
"GBF3"	0.00221027920168015	0.0356802213985509	3.83011363636364
