"TF1"	"TF2"	"Cluster"	"P value"	"Enrichment"	"Intersection Genes"
NA	NA	NA	NA	NA	NA
"CCA1"	"LHY"	"peak_ZT8"	"3.31291571785898e-27"	"5.38736757260683"	"AT1G07050,AT1G07420,AT1G08550,AT1G10760,AT1G11210,AT1G13930,AT1G19370,AT1G20030,AT1G20696,AT1G21680,AT1G22770,AT1G25320,AT1G49720,AT1G51090,AT1G56300,AT1G68050,AT1G68500,AT1G70820,AT1G72180,AT1G76590,AT1G78600,AT2G16365,AT2G29680,AT2G36410,AT2G38670,AT2G39710,AT2G42200,AT2G45590,AT3G05220,AT3G05800,AT3G18080,AT3G26580,AT3G47160,AT3G51660,AT4G01026,AT4G02370,AT4G03210,AT4G11370,AT4G14270,AT4G16146,AT4G18240,AT4G26670,AT4G27440,AT4G32340,AT4G34910,AT5G02810,AT5G05410,AT5G06690,AT5G08330,AT5G11060,AT5G14270,AT5G14550,AT5G24470,AT5G42250,AT5G42900,AT5G57110,AT5G62360,AT5G63810"
"CCA1"	"PHYA"	"peak_ZT8"	"1.3085692095288e-17"	"6.20567519072112"	"AT1G10090,AT1G20696,AT1G22770,AT1G60800,AT1G70420,AT1G78600,AT2G16365,AT2G21660,AT2G36410,AT2G45590,AT2G45660,AT2G46060,AT3G05220,AT3G05800,AT3G18080,AT3G46630,AT3G47160,AT3G60380,AT4G01026,AT4G03210,AT4G04330,AT4G14230,AT4G25480,AT4G27440,AT4G27820,AT4G33980,AT4G39090,AT5G08330,AT5G24470,AT5G42900,AT5G48250,AT5G58070,AT5G61810,AT5G63810"
"CCA1"	"PHYB"	"peak_ZT8"	"2.7767636903166e-09"	"5.12412989343975"	"AT1G22770,AT1G60800,AT1G76590,AT2G16365,AT2G17840,AT2G36410,AT2G46060,AT3G18080,AT3G47160,AT3G53460,AT4G01026,AT4G03210,AT4G14270,AT5G02810,AT5G05410,AT5G24470,AT5G42250,AT5G48250,AT5G57630,AT5G58070"
"CCA1"	"PIF4"	"peak_ZT8"	"1.17886842257533e-22"	"5.21979140930754"	"AT1G07420,AT1G10090,AT1G10760,AT1G11210,AT1G12710,AT1G20696,AT1G21680,AT1G22770,AT1G28050,AT1G68050,AT1G68500,AT1G70420,AT1G78380,AT1G78600,AT2G15890,AT2G16365,AT2G17840,AT2G21660,AT2G36410,AT2G38670,AT2G45590,AT2G46060,AT3G05220,AT3G17020,AT3G18080,AT3G27210,AT3G47160,AT3G51400,AT3G51660,AT3G60380,AT4G01026,AT4G04330,AT4G11600,AT4G14230,AT4G16146,AT4G25480,AT4G27820,AT4G32340,AT4G33980,AT4G39090,AT4G39260,AT5G05410,AT5G08330,AT5G24470,AT5G42900,AT5G48250,AT5G57630,AT5G58070,AT5G62360,AT5G63810"
"CCA1"	"PIF5"	"peak_ZT8"	"8.68161118455575e-17"	"6.57211890673429"	"AT1G07420,AT1G10090,AT1G11210,AT1G12710,AT1G20696,AT1G21680,AT1G22770,AT1G70420,AT1G78380,AT2G16365,AT2G17840,AT2G21660,AT2G36410,AT2G45590,AT3G05220,AT3G17020,AT3G18080,AT3G27210,AT3G51400,AT3G51660,AT4G04330,AT4G11600,AT4G33980,AT4G39090,AT4G39260,AT5G05410,AT5G08330,AT5G24470,AT5G48250,AT5G57630,AT5G58070"
"CCA1"	"PRR5"	"peak_ZT8"	"5.40850779145288e-26"	"4.13407479617157"	"AT1G07420,AT1G10090,AT1G10760,AT1G11210,AT1G12710,AT1G13930,AT1G20030,AT1G20696,AT1G21680,AT1G22770,AT1G25320,AT1G28050,AT1G51090,AT1G56300,AT1G60800,AT1G68500,AT1G70420,AT1G72180,AT1G76590,AT1G78380,AT2G17840,AT2G21660,AT2G39710,AT2G42200,AT2G42530,AT2G45590,AT2G45660,AT2G46060,AT3G05220,AT3G05800,AT3G17020,AT3G18080,AT3G26580,AT3G27210,AT3G46630,AT3G47160,AT3G51400,AT3G51660,AT3G53460,AT3G60380,AT4G01026,AT4G03210,AT4G04330,AT4G11370,AT4G11600,AT4G14230,AT4G14270,AT4G16146,AT4G19120,AT4G25480,AT4G27440,AT4G27820,AT4G32340,AT4G33980,AT4G39090,AT4G39260,AT5G05410,AT5G08330,AT5G11060,AT5G14270,AT5G14550,AT5G24470,AT5G42900,AT5G48250,AT5G57630,AT5G58070,AT5G61810,AT5G62360,AT5G63810"
"CRY2"	"FHY1"	"peak_ZT0"	"1.75251472009792e-15"	"12.0518610328847"	"AT1G13260,AT1G23710,AT1G35140,AT1G68670,AT1G73670,AT2G18090,AT3G01560,AT3G11700,AT3G19680,AT3G26810,AT3G63010,AT4G30210,AT4G34150,AT5G13100,AT5G13760,AT5G19120,AT5G25280,AT5G40250,AT5G67420"
"CRY2"	"LHY"	"peak_ZT0"	"4.95650488295267e-22"	"3.15535636398055"	"AT1G01540,AT1G01550,AT1G03090,AT1G06410,AT1G09070,AT1G09390,AT1G10020,AT1G11260,AT1G13260,AT1G19770,AT1G21910,AT1G23390,AT1G23710,AT1G25550,AT1G28130,AT1G35140,AT1G37130,AT1G49500,AT1G51950,AT1G66160,AT1G66180,AT1G68670,AT1G68840,AT1G72820,AT1G73670,AT1G76600,AT1G76990,AT1G80440,AT2G01590,AT2G01850,AT2G18090,AT2G27500,AT2G30040,AT2G36950,AT2G38310,AT2G40000,AT3G01560,AT3G04730,AT3G11700,AT3G12150,AT3G12630,AT3G14990,AT3G15850,AT3G19680,AT3G24550,AT3G26810,AT3G30775,AT3G47430,AT3G49220,AT3G49790,AT3G55430,AT3G55980,AT3G56360,AT3G61580,AT3G63010,AT4G01720,AT4G08950,AT4G27657,AT4G27940,AT4G30210,AT4G30270,AT4G32030,AT4G34150,AT4G39400,AT5G05440,AT5G11090,AT5G13100,AT5G13760,AT5G14730,AT5G18630,AT5G20250,AT5G22940,AT5G25280,AT5G27350,AT5G41080,AT5G49480,AT5G51460,AT5G56980,AT5G58650,AT5G59730,AT5G60680,AT5G60850"
"CRY2"	"PHYA"	"peak_ZT0"	"1.1893812457172e-46"	"6.50271205259864"	"AT1G01060,AT1G01550,AT1G03090,AT1G06410,AT1G10020,AT1G13260,AT1G21910,AT1G22190,AT1G23710,AT1G25550,AT1G25560,AT1G31420,AT1G35140,AT1G37130,AT1G49500,AT1G57680,AT1G66160,AT1G66180,AT1G68670,AT1G68840,AT1G72820,AT1G73670,AT1G76990,AT2G01850,AT2G18090,AT2G22470,AT2G24790,AT2G27500,AT2G30040,AT2G30490,AT2G36950,AT2G40000,AT3G01560,AT3G01820,AT3G04730,AT3G11700,AT3G16500,AT3G19680,AT3G23030,AT3G26810,AT3G30775,AT3G47430,AT3G49220,AT3G50790,AT3G52060,AT3G53420,AT3G54140,AT3G55430,AT3G55980,AT3G56360,AT3G61580,AT3G62980,AT3G63010,AT4G00730,AT4G01250,AT4G01720,AT4G08950,AT4G25470,AT4G27657,AT4G27940,AT4G28240,AT4G30270,AT4G32030,AT4G34150,AT5G03140,AT5G05440,AT5G11090,AT5G12230,AT5G13100,AT5G13760,AT5G18630,AT5G19120,AT5G22940,AT5G24870,AT5G25280,AT5G40250,AT5G41080,AT5G51460,AT5G56980,AT5G57560,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G65430,AT5G67420"
