tf1	tf2	peak.zt	trough.zt	pvalues	fdr	enrichment	genes
CCA1	LUX	ZT8	ZT16	5.78943173393485e-06	0.000189472311292413	19.7182030807031	AT1G22770,AT1G78380,AT3G46630,AT3G54890,AT4G25480
CCA1	ELF4	ZT4	ZT16	2.65436833990295e-05	0.000735055847973124	10.3463026964309	AT1G18330,AT1G73480,AT3G22840,AT3G27690,AT3G47470,AT3G59060
TOC1	PRR7	ZT0	ZT16	1.08959093188331e-06	4.0025789334489e-05	152.80425111221	AT2G46830,AT3G12320,AT5G06980
TOC1	PRR9	ZT0	ZT16	5.19226587455223e-08	2.42755287641403e-06	113.559443449511	AT1G26790,AT2G46830,AT3G12320,AT5G06980
TOC1	CRY2	ZT0	ZT8	8.7272888355453e-17	1.49610665752205e-14	18.2658706986444	AT1G01550,AT1G09070,AT1G22190,AT1G37130,AT1G74450,AT2G30040,AT3G47430,AT3G55980,AT4G02380,AT4G08950,AT4G27657,AT4G27940,AT4G34150,AT5G05440,AT5G13100,AT5G22940,AT5G51460
TOC1	CRY2	ZT0	ZT12	1.59152059229536e-15	2.49107570967969e-13	17.3901523142484	AT1G06410,AT1G19770,AT1G35140,AT1G57680,AT1G66160,AT1G66180,AT1G68840,AT2G01850,AT2G40000,AT3G19680,AT3G55430,AT4G30270,AT4G32030,AT5G17350,AT5G57560,AT5G59730
TOC1	CRY2	ZT16	ZT4	7.3322493741738e-06	0.000231544717079173	13.1184433882193	AT1G18210,AT1G27730,AT1G32920,AT1G75800,AT2G41430,AT3G49530
TOC1	LUX	ZT0	ZT16	4.45316503370707e-06	0.000148438834456902	37.4439245968658	AT1G26790,AT2G46830,AT3G12320,AT5G06980
TOC1	ELF4	ZT0	ZT16	2.22226525025791e-09	1.35595845778449e-07	97.2910962137664	AT1G26790,AT2G39010,AT2G46830,AT3G12320,AT5G06980
PRR5	PRR7	ZT0	ZT16	9.15279993188053e-08	3.83926214315017e-06	17.9323213040718	AT2G46830,AT3G12320,AT3G54500,AT4G25470,AT5G06980,AT5G12850,AT5G59400
PRR5	PRR9	ZT0	ZT16	1.49264704346867e-09	1.01387346348815e-07	14.2786633334529	AT1G26790,AT1G32900,AT2G31380,AT2G46830,AT3G12320,AT3G54500,AT4G25470,AT5G06980,AT5G39660,AT5G64840
PRR5	ELF4	ZT0	ZT16	3.3613961929809e-10	2.63065789015897e-08	11.7437995057164	AT1G26790,AT1G44446,AT1G55960,AT2G39010,AT2G46830,AT3G12320,AT3G26520,AT3G54500,AT5G06980,AT5G39660,AT5G57660,AT5G62430
PRR5	ELF4	ZT8	ZT16	1.85873552585808e-05	0.000531067293102309	10.7500933936942	AT1G22770,AT1G61520,AT3G54890,AT4G02770,AT4G10340,AT4G12800
PRR7	PRR9	ZT0	ZT12	7.31002383628679e-10	5.26321716212649e-08	116.30817275266	AT1G01060,AT1G69570,AT2G30520,AT3G09600,AT5G60850
PRR7	PRR9	ZT0	ZT16	1.04850024668136e-13	1.34807174573317e-11	676.346685250764	AT2G46830,AT3G12320,AT3G54500,AT4G25470,AT5G06980
PRR7	PHYA	ZT0	ZT16	8.14004465631314e-06	0.000254818789241107	31.1963310399218	AT2G46830,AT4G25470,AT5G06980,AT5G59400
PRR7	PHYB	ZT0	ZT16	2.14834935468917e-06	7.58240948713824e-05	43.7741621223306	AT2G46830,AT3G12320,AT3G54500,AT5G06980
PRR7	LUX	ZT0	ZT16	7.96245948815547e-09	4.27833644139697e-07	178.409287785066	AT2G46830,AT3G12320,AT3G54500,AT5G06980
PRR7	LUX	ZT4	ZT16	2.81845758902536e-05	0.000774537963396283	51.5308379767546	AT1G18330,AT3G59060,AT5G54470
PRR7	PIF5	ZT0	ZT16	4.5252753385717e-06	0.000149458635035396	36.2302066303373	AT2G46830,AT3G54500,AT4G25470,AT5G06980
PRR7	ELF4	ZT0	ZT16	4.14840445706774e-10	3.17750128626465e-08	370.850766744239	AT2G46830,AT3G12320,AT3G54500,AT5G06980
PRR7	ELF4	ZT4	ZT16	3.1465763392362e-06	0.00010891995020433	107.114663210108	AT1G18330,AT3G59060,AT5G54470
PRR9	PHYA	ZT0	ZT16	3.3032563095072e-09	1.88757503400411e-07	30.4292081454975	AT1G26790,AT1G32900,AT2G46830,AT4G25470,AT5G06980,AT5G39660,AT5G64840
PRR9	PHYB	ZT0	ZT16	2.28632179221207e-05	0.000648091216690036	24.3987133140859	AT2G46830,AT3G12320,AT3G54500,AT5G06980
PRR9	LUX	ZT0	ZT16	3.61505218458208e-12	3.61629587931617e-10	149.161863558006	AT1G26790,AT2G46830,AT3G12320,AT3G54500,AT5G06980,AT5G39660
PRR9	LUX	ZT4	ZT16	7.46051045001003e-08	3.27534605122391e-06	47.8701773554551	AT1G18330,AT1G73480,AT3G22840,AT5G54470,AT5G64170
PRR9	PIF5	ZT0	ZT16	1.69420504665484e-06	6.09913816795741e-05	25.2423570785137	AT2G46830,AT3G54500,AT4G25470,AT5G06980,AT5G64840
