tf1	tf2	peak.zt	trough.zt	pvalues	fdr	enrichment	genes
CCA1	LHY	ZT0	ZT4	0.996705501871762	1	0.355192462140646	AT1G68110,AT3G19100,AT3G50630,AT5G09320
CCA1	LHY	ZT0	ZT8	0.987038147807592	1	0.652031876929615	AT1G01720,AT1G08570,AT1G09070,AT1G15750,AT1G71040,AT1G76570,AT2G24100,AT2G31160,AT2G36950,AT2G46735,AT3G11700,AT3G24550,AT3G56360,AT4G19200,AT5G05140,AT5G13100,AT5G18650,AT5G18670,AT5G57360,AT5G66770
CCA1	LHY	ZT0	ZT12	0.626978257560779	1	0.956376235669884	AT1G01620,AT1G13260,AT1G17200,AT1G23390,AT1G50040,AT1G64530,AT1G66180,AT1G69570,AT1G76490,AT2G01850,AT2G01930,AT2G18300,AT2G25070,AT2G35690,AT2G42750,AT2G43680,AT3G07350,AT3G55580,AT3G61060,AT3G61430,AT3G61580,AT4G16110,AT4G16480,AT4G16780,AT4G24020,AT5G44020,AT5G46020,AT5G60680,AT5G64813
CCA1	LHY	ZT0	ZT16	0.266524380563838	1	1.34241857014921	AT1G69160,AT1G76110,AT2G20180,AT3G50740,AT4G14300,AT5G12850,AT5G51720
CCA1	LHY	ZT0	ZT20	1	1	0	
CCA1	LHY	ZT4	ZT0	0.482964162906873	1	1.06144724151333	AT1G03630,AT1G54130,AT1G61800,AT1G74640,AT2G29090,AT2G29970,AT4G15490,AT4G34050
CCA1	LHY	ZT4	ZT8	0.0711454846285481	0.423345032500452	2.53567952139295	AT1G64780,AT1G79270,AT5G20220,AT5G59430
CCA1	LHY	ZT4	ZT12	0.662462616900313	1	0.902529999139863	AT1G21640,AT1G49840,AT3G07360,AT3G45780,AT4G17810,AT5G02760,AT5G45830
CCA1	LHY	ZT4	ZT16	0.198920652536448	0.842487469566131	1.25553063680622	AT1G60190,AT1G73480,AT1G73750,AT2G29360,AT3G11690,AT3G27690,AT3G28220,AT3G28720,AT3G46290,AT3G46370,AT4G19710,AT4G24780,AT5G42720,AT5G62170,AT5G62280,AT5G65480,AT5G67390
CCA1	LHY	ZT4	ZT20	0.777397917726325	1	0.776228424916208	AT1G30690,AT2G43010,AT3G50760,AT4G36220,AT5G65890
CCA1	LHY	ZT8	ZT0	1.86321487641901e-08	9.06428858798436e-07	2.1394795961753	AT1G07420,AT1G08550,AT1G10760,AT1G11210,AT1G13930,AT1G18470,AT1G20696,AT1G21670,AT1G21730,AT1G21880,AT1G25320,AT1G49720,AT1G51090,AT1G56300,AT1G62430,AT1G70820,AT1G76590,AT1G78600,AT2G14080,AT2G28720,AT2G33500,AT2G34090,AT2G38670,AT2G42200,AT2G45590,AT3G07630,AT3G18080,AT3G26580,AT3G29320,AT3G47160,AT3G51660,AT4G02370,AT4G03210,AT4G09020,AT4G12070,AT4G14270,AT4G16146,AT4G18240,AT4G25970,AT4G27440,AT4G29510,AT4G30660,AT4G32340,AT4G34910,AT4G39170,AT5G02190,AT5G05410,AT5G10790,AT5G11060,AT5G14270,AT5G14550,AT5G14970,AT5G18440,AT5G24470,AT5G40480,AT5G46920,AT5G49760,AT5G62360,AT5G62640,AT5G64330
CCA1	LHY	ZT8	ZT4	1.16124546252825e-08	5.97211952157386e-07	5.31450639415234	AT1G07050,AT1G19370,AT1G21680,AT1G59870,AT1G68050,AT1G68500,AT2G02100,AT2G16365,AT2G36410,AT3G05220,AT3G05800,AT4G11370,AT4G26670,AT5G06690,AT5G42900,AT5G57110,AT5G63810
CCA1	LHY	ZT8	ZT12	1	1	0	
CCA1	LHY	ZT8	ZT16	0.0645805036850502	0.397204328235546	2.10656452546491	AT1G22770,AT2G39710,AT4G01026,AT4G34250,AT5G08330,AT5G63800
CCA1	LHY	ZT8	ZT20	0.496087042517849	1	1.04924669850743	AT1G12990,AT1G20030,AT1G72180,AT2G29680,AT4G12600,AT5G02810,AT5G42250,AT5G58960
CCA1	LHY	ZT12	ZT0	0.829918736888205	1	0.848999839752103	AT1G14440,AT1G17420,AT1G17460,AT1G56650,AT1G67360,AT1G75710,AT2G02810,AT2G18040,AT2G19860,AT2G32280,AT2G34650,AT2G36390,AT2G45740,AT3G52870,AT4G23180,AT4G34950,AT4G39190,AT4G39730,AT5G03720,AT5G07340,AT5G20830,AT5G23240,AT5G36890,AT5G41410,AT5G55280
CCA1	LHY	ZT12	ZT4	0.0186612654689814	0.168795366051088	1.63564310424323	AT1G21600,AT1G31850,AT1G67810,AT1G78995,AT2G14170,AT2G22450,AT2G25730,AT3G05970,AT3G20810,AT3G55450,AT3G58680,AT4G17140,AT4G20890,AT4G24690,AT4G35750,AT5G19380,AT5G39350,AT5G51570,AT5G52840,AT5G61380,AT5G66950
CCA1	LHY	ZT12	ZT8	0.907388703579572	1	0.430587088538425	AT1G16520
CCA1	LHY	ZT12	ZT16	0.610019005829397	1	1.08671979488269	AT4G35030
CCA1	LHY	ZT12	ZT20	0.877886496250077	1	0.605870328120439	AT2G29390,AT2G41900,AT4G11000
CCA1	LHY	ZT16	ZT0	0.359821014760308	1	1.26783976069647	AT3G18035,AT3G60750,AT5G09440,AT5G53450,AT5G54770
CCA1	LHY	ZT16	ZT4	0.178371512902092	0.786933145156287	1.26046859929708	AT1G04620,AT1G27450,AT1G64330,AT1G75800,AT2G22660,AT2G40140,AT3G05120,AT3G16180,AT3G19930,AT3G23280,AT3G27380,AT3G59350,AT4G30350,AT4G33430,AT4G34750,AT5G13710,AT5G25210,AT5G56870,AT5G67480
CCA1	LHY	ZT16	ZT8	0.984026009209602	1	0.335604642537302	AT3G16940,AT4G15545
CCA1	LHY	ZT16	ZT12	1	1	0	
CCA1	LHY	ZT16	ZT20	1	1	0	
CCA1	LHY	ZT20	ZT0	1	1	0	
CCA1	LHY	ZT20	ZT4	0.0590257139494398	0.374106637707717	1.65971750491175	AT1G23010,AT1G26665,AT1G69890,AT2G25930,AT2G47910,AT3G06140,AT3G07650,AT3G48360,AT3G53950,AT4G32760,AT5G43060,AT5G54290
CCA1	LHY	ZT20	ZT8	0.719060041816105	1	0.845226507130983	AT1G70250,AT2G40670,AT3G19480,AT3G46130,AT4G38430,AT5G03680
CCA1	LHY	ZT20	ZT12	0.635821804277175	1	0.922065280506526	AT2G17710,AT2G36080,AT4G10060,AT5G53460
CCA1	LHY	ZT20	ZT16	1	1	NA	
CCA1	TOC1	ZT0	ZT4	0.586152176003463	1	1.13902767951892	AT4G17090
CCA1	TOC1	ZT0	ZT8	0.218105103913163	0.8866093188433	1.67274350649351	AT1G01720,AT1G09070,AT3G63500,AT5G13100
CCA1	TOC1	ZT0	ZT12	0.421826358440976	1	1.26906118628481	AT1G66180,AT2G01850,AT4G16780
CCA1	TOC1	ZT0	ZT16	0.334896352533903	1	2.45991692131398	AT2G46830
CCA1	TOC1	ZT0	ZT20	1	1	0	
CCA1	TOC1	ZT4	ZT0	0.445580135927604	1	1.7019192653277	AT4G34050
CCA1	TOC1	ZT4	ZT8	1	1	0	
CCA1	TOC1	ZT4	ZT12	0.455026005433686	1	1.65384244992296	AT3G07360
CCA1	TOC1	ZT4	ZT16	0.284783650959931	1	1.89469329214475	AT1G60190,AT1G73480
CCA1	TOC1	ZT4	ZT20	0.395856908054995	1	1.99136131725417	AT2G43010
CCA1	TOC1	ZT8	ZT0	0.644908858543387	1	0.914781605113636	AT2G17840,AT5G11060
CCA1	TOC1	ZT8	ZT4	0.221220455740786	0.893652868320997	4.01000155666252	AT1G59870
CCA1	TOC1	ZT8	ZT12	1	1	0	
CCA1	TOC1	ZT8	ZT16	0.199568919633375	0.84423984803778	4.50354020979021	AT1G22770
CCA1	TOC1	ZT8	ZT20	1	1	0	
CCA1	TOC1	ZT12	ZT0	0.671164211950171	1	0.871220576298701	AT1G17420,AT4G23180
