peak	through	p-value	fdr	enrichment	Intersection Genes
ZT0	ZT12	0.033331443416366	0.905725578602724	1.38050084369914	AT1G03090,AT1G13260,AT1G35140,AT1G49500,AT1G66150,AT1G66160,AT1G66180,AT2G01850,AT2G18300,AT2G20670,AT2G26710,AT2G30520,AT2G40000,AT2G44920,AT2G46780,AT2G47940,AT3G01560,AT3G07350,AT3G11760,AT3G15450,AT3G16850,AT3G19680,AT3G30775,AT4G16780,AT4G30270,AT4G32030,AT5G49360,AT5G57560,AT5G58650,AT5G59730,AT5G60680,AT5G60850
ZT0	ZT16	0.0816178773155041	0.905725578602724	1.86301243666513	AT1G06570,AT1G27050,AT2G39010,AT2G46830,AT3G17860,AT3G26520,AT5G57660
ZT0	ZT20	1	1	0	
ZT0	ZT4	0.959691562030626	1	0.565647995562009	AT1G11260,AT1G23710,AT2G24765,AT3G19100,AT4G32300,AT5G54380
ZT0	ZT8	0.794467172581797	1	0.867034427564918	AT1G05000,AT1G08570,AT1G76990,AT2G23460,AT2G30040,AT2G45880,AT2G46735,AT2G46800,AT3G11700,AT3G16830,AT3G19970,AT3G23030,AT3G24550,AT3G26810,AT4G30210,AT5G11090,AT5G13100,AT5G49480,AT5G51460,AT5G56980,AT5G64410
ZT12	ZT0	0.999999555501712	1	0.267024935795443	AT1G67360,AT2G34650,AT2G40080,AT2G45740,AT3G07390,AT3G14840,AT5G65630
ZT12	ZT16	1	1	0	
ZT12	ZT20	0.739219840151917	1	0.804623311516502	AT2G28890,AT2G41900,AT3G02120,AT5G62290
ZT12	ZT4	0.477248858847426	1	1.05134482416383	AT1G21600,AT1G55450,AT1G78620,AT1G79440,AT2G03120,AT3G08720,AT3G11820,AT5G04340,AT5G61380,AT5G64310,AT5G65670
ZT12	ZT8	0.873251087060202	1	0.494268605645851	AT1G15100
ZT16	ZT0	0.249449542487576	1	1.47858129894058	AT1G23490,AT2G30870,AT3G10500,AT3G22380,AT5G53450
ZT16	ZT12	0.796311732203713	1	0.640718562874252	AT3G28180
ZT16	ZT20	1	1	0	
ZT16	ZT4	0.989636286695821	1	0.475040765151619	AT1G20840,AT1G30640,AT1G75800,AT2G40140,AT2G41430,AT3G27380
ZT16	ZT8	0.0936957495106266	0.905725578602724	1.71919515007253	AT1G05710,AT2G01420,AT2G41100,AT2G41110,AT3G18290,AT4G30440,AT4G31390,AT5G62670
ZT20	ZT0	1	1	0	
ZT20	ZT12	1	1	0	
ZT20	ZT4	0.603495879913759	1	0.95664891415326	AT2G25930,AT3G02990,AT3G07650,AT3G14100,AT3G15630,AT5G55530
ZT20	ZT8	0.99728759311267	1	0.174741426238432	AT2G47010
ZT4	ZT0	0.522595952768995	1	1.03796407185629	AT1G54130,AT3G05630,AT3G13310,AT3G15350,AT5G28300,AT5G53120
ZT4	ZT12	0.936444340492936	1	0.513843599928855	AT2G42190,AT2G46710,AT3G07360
ZT4	ZT16	0.31849934114143	1	1.17950462710942	AT1G03600,AT1G59740,AT1G73480,AT2G46680,AT3G11670,AT3G24840,AT4G32020,AT5G04200,AT5G54470,AT5G62170,AT5G64170,AT5G67030
ZT4	ZT20	0.789511302538942	1	0.765460229982513	AT1G30690,AT2G43010,AT3G13640,AT5G63130,AT5G65890
ZT4	ZT8	0.700822574268407	1	0.843873229151453	AT5G59430
ZT8	ZT0	0.998687141123179	1	0.487931828650391	AT2G17840,AT2G25250,AT2G44490,AT2G45590,AT2G46060,AT3G06500,AT3G18080,AT3G19590,AT4G31550,AT5G11060,AT5G66880
ZT8	ZT12	1	1	0	
ZT8	ZT16	0.704262887542974	1	0.823781009409752	AT5G08330,AT5G58070
ZT8	ZT20	0.987215633190849	1	0.381604438182459	AT1G12990,AT1G56600,AT5G67560
ZT8	ZT4	0.236835577049243	1	1.609246623033	AT1G59870,AT2G16365,AT3G05220,AT5G63810
