peak	through	p-value	fdr	enrichment	Intersection Genes
ZT0	ZT12	0.267140758016751	1	1.06733167082294	AT1G03090,AT1G03610,AT1G03870,AT1G13080,AT1G13260,AT1G17120,AT1G23050,AT1G23390,AT1G23870,AT1G35140,AT1G49500,AT1G66150,AT1G66160,AT1G66180,AT1G73540,AT2G01590,AT2G01850,AT2G01860,AT2G01930,AT2G05790,AT2G06850,AT2G17880,AT2G18280,AT2G18300,AT2G20670,AT2G22990,AT2G24790,AT2G26690,AT2G26710,AT2G27050,AT2G27830,AT2G28110,AT2G28130,AT2G30520,AT2G40000,AT2G40970,AT2G41290,AT2G42580,AT2G44080,AT2G44920,AT2G46220,AT2G46330,AT2G46780,AT2G47160,AT2G47940,AT3G01560,AT3G02170,AT3G02540,AT3G04730,AT3G07350,AT3G08600,AT3G09600,AT3G11760,AT3G12920,AT3G15450,AT3G15770,AT3G15850,AT3G16240,AT3G16800,AT3G16850,AT3G19680,AT3G19850,AT3G27170,AT3G29370,AT3G30775,AT4G16780,AT4G30270,AT4G32030,AT5G49170,AT5G49360,AT5G49710,AT5G51910,AT5G53160,AT5G54510,AT5G57560,AT5G58430,AT5G58650,AT5G58720,AT5G59730,AT5G60680,AT5G60850,AT5G64850,AT5G64940,AT5G66590
ZT0	ZT16	0.0146162276488928	0.423870601817891	1.64615384615385	AT1G06570,AT1G21010,AT1G27050,AT1G67340,AT2G02710,AT2G25900,AT2G38820,AT2G39010,AT2G46310,AT2G46830,AT3G05820,AT3G17860,AT3G26520,AT5G52570,AT5G54300,AT5G57660,AT5G59400,AT5G61670,AT5G62430,AT5G62920,AT5G64840
ZT0	ZT20	0.098130841121451	1	10.1904761904762	AT5G54260
ZT0	ZT4	0.999697040182798	1	0.527572336836642	AT1G11260,AT1G14740,AT1G23710,AT1G24170,AT1G30570,AT1G36050,AT1G79420,AT2G24765,AT2G29980,AT2G37650,AT2G39660,AT3G03990,AT3G11770,AT3G14990,AT3G16620,AT3G19100,AT4G17090,AT4G32300,AT5G54380
ZT0	ZT8	0.432251495685591	1	1.02147971360382	AT1G03457,AT1G05000,AT1G08570,AT1G21000,AT1G22930,AT1G33250,AT1G45688,AT1G47530,AT1G56590,AT1G66200,AT1G75500,AT1G76990,AT1G78510,AT2G19800,AT2G23460,AT2G23810,AT2G26980,AT2G28320,AT2G30040,AT2G30490,AT2G30590,AT2G31160,AT2G31820,AT2G32560,AT2G33700,AT2G34070,AT2G34710,AT2G38120,AT2G38310,AT2G39570,AT2G41070,AT2G41310,AT2G43060,AT2G44500,AT2G45880,AT2G45960,AT2G46735,AT2G46800,AT3G01820,AT3G02140,AT3G05490,AT3G06080,AT3G06760,AT3G06780,AT3G11700,AT3G13040,AT3G13510,AT3G14770,AT3G16830,AT3G17510,AT3G18780,AT3G19970,AT3G21690,AT3G22440,AT3G23030,AT3G23230,AT3G23920,AT3G24550,AT3G25585,AT3G26510,AT3G26810,AT3G27350,AT3G28040,AT3G29240,AT4G15550,AT4G17080,AT4G30200,AT4G30210,AT4G31080,AT5G11090,AT5G13100,AT5G49480,AT5G51460,AT5G54130,AT5G56980,AT5G58950,AT5G59960,AT5G62130,AT5G64410,AT5G65380,AT5G65430,AT5G65700,AT5G66730,AT5G66770
ZT12	ZT0	0.999999999930547	1	0.460649971124062	AT1G14000,AT1G30620,AT1G56650,AT1G67360,AT1G75710,AT2G02800,AT2G02810,AT2G19860,AT2G26900,AT2G34650,AT2G40080,AT2G40750,AT2G41180,AT2G45720,AT2G45740,AT2G46510,AT3G02010,AT3G02040,AT3G02570,AT3G03270,AT3G05690,AT3G07390,AT3G09010,AT3G11580,AT3G14210,AT3G14620,AT3G14840,AT3G17790,AT3G18710,AT3G24503,AT3G26740,AT3G27060,AT5G19690,AT5G53420,AT5G53760,AT5G54860,AT5G55960,AT5G56260,AT5G64400,AT5G65630,AT5G67070
ZT12	ZT16	0.697833294144541	1	0.849206349206349	AT3G11410,AT5G57050
ZT12	ZT20	0.958409890834653	1	0.65171650055371	AT1G61640,AT2G28890,AT2G29390,AT2G41900,AT3G02120,AT3G03170,AT3G05510,AT3G05740,AT3G17120,AT5G62290,AT5G64510
ZT12	ZT4	0.819543823297189	1	0.872665088134701	AT1G05010,AT1G21600,AT1G26270,AT1G55450,AT1G76970,AT1G78620,AT1G79440,AT2G03120,AT2G14170,AT2G17220,AT2G27820,AT3G02910,AT3G08720,AT3G10410,AT3G11820,AT3G13880,AT3G14360,AT3G15095,AT3G20810,AT3G22190,AT5G04340,AT5G20630,AT5G52840,AT5G55830,AT5G57580,AT5G61380,AT5G61510,AT5G62720,AT5G64310,AT5G65670,AT5G66950
ZT12	ZT8	0.830479166564999	1	0.727891156462585	AT1G04010,AT1G15100,AT3G03770,AT3G16050,AT3G16910
ZT16	ZT0	0.606587058615619	1	0.958078958078958	AT1G23490,AT2G30870,AT3G10500,AT3G18035,AT3G22380,AT4G17670,AT5G09440,AT5G53450,AT5G54770,AT5G58900,AT5G59020
ZT16	ZT12	0.790369193167405	1	0.754850088183422	AT3G22120,AT3G28180,AT4G30790,AT5G52050
ZT16	ZT20	1	1	0	
ZT16	ZT4	0.962519826712573	1	0.769532526969598	AT1G05570,AT1G20840,AT1G23020,AT1G25275,AT1G30640,AT1G75800,AT2G15390,AT2G18960,AT2G20900,AT2G22660,AT2G26650,AT2G40140,AT2G41430,AT2G42040,AT2G46090,AT3G04910,AT3G05120,AT3G07470,AT3G07580,AT3G16180,AT3G25600,AT3G27380,AT3G28340,AT3G28910,AT4G30190,AT4G30350,AT4G31800,AT4G32160,AT5G55850,AT5G57830,AT5G64130,AT5G66210,AT5G67480
ZT16	ZT8	0.159519394412785	1	1.26589766341319	AT1G05710,AT1G44100,AT2G01420,AT2G01450,AT2G28950,AT2G41100,AT2G41110,AT3G16940,AT3G18290,AT3G24890,AT3G25690,AT3G26690,AT3G27960,AT4G14980,AT4G15545,AT4G16370,AT4G30340,AT4G30440,AT4G31390,AT5G62670
ZT20	ZT0	1	1	0	
ZT20	ZT12	0.762517613251929	1	0.842188114915388	AT1G10470,AT2G16380,AT2G34510,AT2G38800,AT2G46250,AT3G01480,AT3G01690,AT5G53460,AT5G54280,AT5G61590
