peak	through	p-value	fdr	enrichment	Intersection Genes
Any	Any	1	1	1	AT1G01060,AT1G01550,AT1G01720,AT1G04400,AT1G05710,AT1G06410,AT1G07180,AT1G07890,AT1G09070,AT1G09350,AT1G09530,AT1G09570,AT1G11260,AT1G12990,AT1G13260,AT1G15750,AT1G17420,AT1G18210,AT1G18330,AT1G18740,AT1G19770,AT1G20696,AT1G21050,AT1G21600,AT1G22770,AT1G23710,AT1G27770,AT1G30110,AT1G30640,AT1G30690,AT1G32640,AT1G32920,AT1G33060,AT1G35140,AT1G37130,AT1G49500,AT1G54130,AT1G56220,AT1G57680,AT1G59870,AT1G60190,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68440,AT1G68670,AT1G68840,AT1G69570,AT1G70090,AT1G72820,AT1G73480,AT1G73670,AT1G75800,AT1G76600,AT1G76990,AT2G01850,AT2G16365,AT2G17840,AT2G18090,AT2G18300,AT2G18790,AT2G23320,AT2G24100,AT2G25250,AT2G25930,AT2G27500,AT2G28890,AT2G30040,AT2G33150,AT2G34650,AT2G36410,AT2G36950,AT2G37678,AT2G40000,AT2G40080,AT2G40140,AT2G41430,AT2G41900,AT2G42790,AT2G43010,AT2G44920,AT2G45880,AT2G46680,AT2G46735,AT2G46780,AT2G46790,AT2G46800,AT2G46830,AT2G47010,AT2G47440,AT2G47940,AT3G01560,AT3G02990,AT3G06500,AT3G07360,AT3G07650,AT3G11670,AT3G11700,AT3G11760,AT3G11820,AT3G12320,AT3G14100,AT3G14840,AT3G15350,AT3G15450,AT3G15630,AT3G16830,AT3G16850,AT3G18080,AT3G19590,AT3G19680,AT3G23030,AT3G24550,AT3G26520,AT3G26810,AT3G28180,AT3G29575,AT3G30775,AT3G45780,AT3G46640,AT3G47340,AT3G47470,AT3G48360,AT3G49530,AT3G49590,AT3G54500,AT3G54810,AT3G55430,AT3G55980,AT3G57530,AT3G57870,AT3G58620,AT3G59060,AT3G60130,AT3G61580,AT3G62720,AT3G62980,AT3G63010,AT4G08950,AT4G13340,AT4G18710,AT4G19200,AT4G24240,AT4G25470,AT4G25480,AT4G27657,AT4G27940,AT4G30210,AT4G31390,AT4G32020,AT4G32030,AT4G32300,AT4G33300,AT4G33430,AT4G34150,AT4G35750,AT4G35850,AT4G36010,AT4G36860,AT4G36920,AT4G38470,AT5G01850,AT5G02810,AT5G03720,AT5G05140,AT5G05410,AT5G05440,AT5G06980,AT5G09810,AT5G11090,AT5G11260,AT5G11700,AT5G11740,AT5G13100,AT5G13760,AT5G18630,AT5G18650,AT5G22940,AT5G24470,AT5G24870,AT5G25280,AT5G35735,AT5G37260,AT5G41080,AT5G42050,AT5G42650,AT5G48250,AT5G49480,AT5G51460,AT5G53450,AT5G54470,AT5G57660,AT5G58070,AT5G58650,AT5G59430,AT5G59730,AT5G60680,AT5G60850,AT5G61380,AT5G63130,AT5G63810,AT5G64170,AT5G64310,AT5G65630,AT5G66880,AT5G67420,AT5G67560
Any	ZT0	0.99999967229689	1	0.492595118624251	AT1G07890,AT1G17420,AT1G20696,AT1G27770,AT1G32640,AT1G54130,AT2G17840,AT2G25250,AT2G34650,AT2G40080,AT3G06500,AT3G14840,AT3G15350,AT3G18080,AT3G19590,AT4G36010,AT5G01850,AT5G03720,AT5G05410,AT5G09810,AT5G11740,AT5G24470,AT5G35735,AT5G42050,AT5G42650,AT5G53450,AT5G65630,AT5G66880
Any	ZT12	0.00472698400908736	0.0579055541113202	1.40789473684211	AT1G01060,AT1G06410,AT1G07180,AT1G09570,AT1G13260,AT1G18740,AT1G19770,AT1G35140,AT1G49500,AT1G57680,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68840,AT1G69570,AT1G72820,AT2G01850,AT2G18300,AT2G27500,AT2G40000,AT2G44920,AT2G46780,AT2G47940,AT3G01560,AT3G07360,AT3G11760,AT3G15450,AT3G16850,AT3G19680,AT3G28180,AT3G30775,AT3G45780,AT3G47340,AT3G49590,AT3G55430,AT3G58620,AT3G61580,AT3G62720,AT4G13340,AT4G18710,AT4G32030,AT4G36860,AT4G38470,AT5G11700,AT5G18630,AT5G41080,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G67420
Any	ZT16	0.160258016777754	0.872515869123327	1.24302229871296	AT1G18330,AT1G22770,AT1G60190,AT1G73480,AT1G73670,AT1G76600,AT2G46680,AT2G46830,AT3G11670,AT3G12320,AT3G26520,AT3G29575,AT3G47470,AT3G54500,AT3G59060,AT4G25470,AT4G25480,AT4G32020,AT5G06980,AT5G54470,AT5G57660,AT5G58070,AT5G64170
Any	ZT20	0.801049529607692	1	0.828268348623853	AT1G09350,AT1G09530,AT1G12990,AT1G30690,AT2G28890,AT2G41900,AT2G43010,AT3G54810,AT3G57870,AT4G35850,AT5G02810,AT5G63130,AT5G67560
Any	ZT4	0.650284633666665	1	0.957045053003534	AT1G04400,AT1G11260,AT1G18210,AT1G21600,AT1G23710,AT1G30640,AT1G32920,AT1G56220,AT1G59870,AT1G70090,AT1G75800,AT2G16365,AT2G23320,AT2G25930,AT2G33150,AT2G36410,AT2G40140,AT2G41430,AT2G42790,AT3G02990,AT3G07650,AT3G11820,AT3G14100,AT3G15630,AT3G48360,AT3G49530,AT3G60130,AT4G24240,AT4G32300,AT4G33300,AT4G33430,AT4G35750,AT4G36920,AT5G25280,AT5G37260,AT5G48250,AT5G61380,AT5G63810,AT5G64310
Any	ZT8	0.0480059084340791	0.294036189158734	1.25222029580355	AT1G01550,AT1G01720,AT1G05710,AT1G09070,AT1G15750,AT1G21050,AT1G30110,AT1G33060,AT1G37130,AT1G68440,AT1G68670,AT1G76990,AT2G18090,AT2G24100,AT2G30040,AT2G36950,AT2G45880,AT2G46735,AT2G46800,AT2G47010,AT2G47440,AT3G11700,AT3G16830,AT3G23030,AT3G24550,AT3G26810,AT3G55980,AT3G57530,AT3G62980,AT3G63010,AT4G08950,AT4G19200,AT4G27657,AT4G27940,AT4G30210,AT4G31390,AT4G34150,AT5G05140,AT5G05440,AT5G11090,AT5G11260,AT5G13100,AT5G13760,AT5G18650,AT5G22940,AT5G24870,AT5G49480,AT5G51460,AT5G59430
ZT0	Any	1.16659949611777e-08	5.71633753097707e-07	1.60171978953777	AT1G01060,AT1G01550,AT1G01720,AT1G06410,AT1G09070,AT1G09570,AT1G11260,AT1G13260,AT1G15750,AT1G19770,AT1G21050,AT1G23710,AT1G30110,AT1G35140,AT1G37130,AT1G49500,AT1G57680,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68440,AT1G68670,AT1G68840,AT1G69570,AT1G70090,AT1G72820,AT1G73670,AT1G76600,AT1G76990,AT2G01850,AT2G18090,AT2G18300,AT2G23320,AT2G24100,AT2G27500,AT2G30040,AT2G36950,AT2G40000,AT2G44920,AT2G45880,AT2G46735,AT2G46780,AT2G46800,AT2G46830,AT2G47440,AT2G47940,AT3G01560,AT3G11700,AT3G11760,AT3G12320,AT3G15450,AT3G16830,AT3G16850,AT3G19680,AT3G23030,AT3G24550,AT3G26520,AT3G26810,AT3G30775,AT3G47340,AT3G54500,AT3G55430,AT3G55980,AT3G57530,AT3G58620,AT3G61580,AT3G62720,AT3G62980,AT3G63010,AT4G08950,AT4G18710,AT4G19200,AT4G25470,AT4G27657,AT4G27940,AT4G30210,AT4G32030,AT4G32300,AT4G34150,AT4G36860,AT4G38470,AT5G05140,AT5G05440,AT5G06980,AT5G11090,AT5G13100,AT5G13760,AT5G18630,AT5G18650,AT5G22940,AT5G24870,AT5G25280,AT5G41080,AT5G49480,AT5G51460,AT5G57660,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G67420
ZT0	ZT0	1	1	0	
ZT0	ZT12	8.97896279588716e-05	0.00219984588499235	1.76628501556247	AT1G01060,AT1G06410,AT1G09570,AT1G13260,AT1G19770,AT1G35140,AT1G49500,AT1G57680,AT1G66150,AT1G66160,AT1G66180,AT1G68020,AT1G68840,AT1G69570,AT1G72820,AT2G01850,AT2G18300,AT2G27500,AT2G40000,AT2G44920,AT2G46780,AT2G47940,AT3G01560,AT3G11760,AT3G15450,AT3G16850,AT3G19680,AT3G30775,AT3G47340,AT3G55430,AT3G58620,AT3G61580,AT3G62720,AT4G18710,AT4G32030,AT4G36860,AT4G38470,AT5G18630,AT5G41080,AT5G58650,AT5G59730,AT5G60680,AT5G60850,AT5G67420
