names	x.pos	y.pos	cluster.classification
AT3G46640	-3320.372802734375	2388.611328125	NA
AT2G46790	-3102.5654296875	2338.401961025613	NA
AT2G18790	-3033.095703125	2427.3056640625	NA
AT2G37678	-3418.40380859375	2463.532831409579	NA
AT2G42200	-3196.727294921875	4103.011101181506	peak8
AT2G42190	-2479.15478515625	2358.6668629002565	peak4
AT2G42220	-2384.758544921875	2942.2589039158815	peak4
AT2G39660	-3604.52734375	1901.8507007908815	peak0
AT2G26710	-2939.657470703125	1733.3836597752565	peak0
AT2G26690	-2664.60693359375	1879.4200367283815	peak0
AT2G26650	-3937.36376953125	1861.714348251819	peak16
AT2G33000	-2179.852294921875	3037.1153492283815	peak4
AT2G39710	-3181.939453125	4057.4022144627565	peak8
AT2G30790	-2379.337158203125	2415.9622730565065	peak4
AT2G45590	-3322.43896484375	4093.4529957127565	peak8
AT2G32710	-3237.284423828125	1742.434807236194	peak0
AT2G32765	-4229.9814453125	2197.4354175877565	peak12
AT2G32800	-3504.326171875	1502.649895126819	peak0
AT2G32680	-4070.88427734375	2935.1827320408815	peak12
AT2G32720	-3382.79833984375	1513.0618824315065	peak0
AT2G42030	-3035.224853515625	1702.708244736194	peak0
AT2G41870	-2563.342041015625	3274.2542652440065	peak4
AT2G41880	-3324.25244140625	1657.837883408069	peak0
AT2G41900	-3171.09716796875	3518.8843921971315	peak12
AT2G42040	-3699.563720703125	2166.1168140721315	peak16
AT2G41890	-2355.933837890625	1820.148674423694	peak4
AT2G30570	-2457.375732421875	3372.8052906346315	peak4
AT2G30600	-1894.854248046875	2503.1746754002565	peak8
AT2G30470	-2998.414306640625	1743.7955250096315	peak0
AT2G30520	-3022.499755859375	1616.4070972752565	peak0
AT2G45630	-3207.592041015625	1587.984123642444	peak0
AT2G45620	-3354.819580078125	1738.680900986194	peak0
AT2G45670	-3218.63671875	1692.276848251819	peak0
AT2G45660	-2923.4287109375	4248.954460556506	peak8
AT2G45560	-3380.50390625	4167.433952744006	peak8
AT2G45600	-2796.981689453125	3695.1600269627565	peak4
AT2G45720	-3812.855712890625	3509.1563648533815	peak12
AT2G30540	-3636.931640625	1888.4334644627565	peak0
AT2G19130	-3846.484375	3388.0262379002565	peak12
AT2G02800	-4216.400390625	3146.7947925877565	peak12
AT2G02760	-4066.8154296875	3507.4395679783815	peak12
AT2G02810	-3517.714111328125	3564.7042164158815	peak12
AT2G02710	-2630.779052734375	2302.4861988377565	peak0
AT2G02740	-3414.028076171875	3891.5916675877565	peak12
AT2G30490	-3772.45458984375	1276.163567001819	peak0
AT2G30590	-3653.5361328125	1664.1639332127565	peak0
AT2G30530	-3820.10009765625	1700.385979111194	peak20
AT2G33830	-4259.87353515625	3229.3187183690065	peak8
AT2G33810	-3592.40673828125	1849.889152939319	peak0
AT2G33860	-3657.262939453125	4100.303581650256	peak8
AT2G33700	-3277.404541015625	1497.318840439319	peak0
AT2G33680	-4065.45166015625	3947.6888355565065	peak8
AT2G33800	-3773.83544921875	1901.3641285252565	peak16
AT2G26260	-3172.35498046875	3907.2860035252565	peak12
AT2G34850	-3391.7373046875	4159.449577744006	peak8
AT2G35060	-2476.560791015625	2837.6671070408815	peak4
AT2G34790	-2555.495849609375	2128.3748707127565	peak0
AT2G34960	-3455.47705078125	1109.973381454944	peak16
AT2G26210	-3580.219970703125	1905.7227711033815	peak0
AT2G44500	-3306.14501953125	1769.585197861194	peak0
AT2G44490	-3517.751220703125	4187.361198837756	peak8
AT2G44450	-3925.666015625	3772.6121754002565	peak16
AT2G26170	-3668.681396484375	1254.443840439319	peak0
AT2G26340	-3652.50244140625	1822.188225204944	peak20
AT2G26200	-3798.751220703125	4079.0989918065065	peak8
AT2G26250	-3145.134033203125	1594.311272079944	peak0
AT2G26300	-3600.61279296875	1758.940422470569	peak0
AT2G44525	-3539.203125	1754.419914658069	peak0
AT2G44420	-3997.43994140625	2560.9554371190065	peak16
AT2G44310	-3750.112548828125	3595.3260425877565	peak12
AT2G40080	-3273.249267578125	3022.2158203125	peak12
AT2G39970	-3564.47119140625	1705.770256454944	peak0
AT2G39920	-3685.188232421875	4064.3685230565065	peak8
