names	x.pos	y.pos	peak.zt	trough.zt	CCA1	LHY	TOC1	PRR5	PRR7	PRR9	PHYA	PHYB	CRY2	FHY1	LUX	PIF3	PIF4	PIF5	ELF4	ELF3	indegree	outdegree	transitivity	closeness	betweeness	eccentricity
AT3G46640	-3320.37280273438	2388.611328125	NA	troughNA	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0	7	185	0.0153527686734518	0.393287494043162	2.4771156867457e-05	3
AT2G46790	-3102.5654296875	2338.40196102561	NA	troughNA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	61	0.0703331570597567	0.442749846719804	4.00084488253879e-07	3
AT2G18790	-3033.095703125	2427.3056640625	NA	troughNA	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	6	754	0.00812312201239252	0.532442396313364	9.00429341860957e-05	3
AT2G37678	-3418.40380859375	2463.53283140958	NA	troughNA	0	0	0	1	0	0	1	1	0	1	0	0	0	0	0	0	4	127	0.0276820866141732	0.334782104775151	2.33410976974142e-06	3
AT2G42200	-3196.72729492188	4103.01110118151	peak8	trough0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0.666666666666667	0.00017307026652821	0	3
AT2G42190	-2479.15478515625	2358.66686290026	peak4	trough12	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	6	0	1	0.00017307026652821	0	3
AT2G42220	-2384.75854492188	2942.25890391588	peak4	trough16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G39660	-3604.52734375	1901.85070079088	peak0	trough4	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT2G26710	-2939.65747070312	1733.38365977526	peak0	trough12	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	1	6	0	0.933333333333333	0.00017307026652821	0	3
AT2G26690	-2664.60693359375	1879.42003672838	peak0	trough12	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	4
AT2G26650	-3937.36376953125	1861.71434825182	peak16	trough4	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	4	0	0.833333333333333	0.00017307026652821	0	3
AT2G33000	-2179.85229492188	3037.11534922838	peak4	trough20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G39710	-3181.939453125	4057.40221446276	peak8	trough16	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	5	0	0.8	0.00017307026652821	0	3
AT2G30790	-2379.33715820312	2415.96227305651	peak4	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G45590	-3322.43896484375	4093.45299571276	peak8	trough0	1	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	6	0	0.933333333333333	0.00017307026652821	0	3
AT2G32710	-3237.28442382812	1742.43480723619	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G32765	-4229.9814453125	2197.43541758776	peak12	trough8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G32800	-3504.326171875	1502.64989512682	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G32680	-4070.88427734375	2935.18273204088	peak12	trough8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G32720	-3382.79833984375	1513.06188243151	peak0	trough8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G42030	-3035.22485351562	1702.70824473619	peak0	trough12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G41870	-2563.34204101562	3274.25426524401	peak4	trough16	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3
AT2G41880	-3324.25244140625	1657.83788340807	peak0	trough12	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G41900	-3171.09716796875	3518.88439219713	peak12	trough20	1	1	0	1	0	0	1	1	0	1	0	0	1	1	0	1	9	0	0.805555555555556	0.00017307026652821	0	3
AT2G42040	-3699.56372070312	2166.11681407213	peak16	trough4	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT2G41890	-2355.93383789062	1820.14867442369	peak4	trough12	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	3	0	1	0.00017307026652821	0	4
AT2G30570	-2457.37573242188	3372.80529063463	peak4	trough16	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	4	0	0.5	0.00017307026652821	0	3
AT2G30600	-1894.85424804688	2503.17467540026	peak8	trough12	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT2G30470	-2998.41430664062	1743.79552500963	peak0	trough8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G30520	-3022.49975585938	1616.40709727526	peak0	trough12	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	6	0	0.533333333333333	0.00017307026652821	0	3
AT2G45630	-3207.59204101562	1587.98412364244	peak0	trough8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G45620	-3354.81958007812	1738.68090098619	peak0	trough12	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G45670	-3218.63671875	1692.27684825182	peak0	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G45660	-2923.4287109375	4248.95446055651	peak8	trough0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0.00017307026652821	0	3
AT2G45560	-3380.50390625	4167.43395274401	peak8	trough0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G45600	-2796.98168945312	3695.16002696276	peak4	trough16	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT2G45720	-3812.85571289062	3509.15636485338	peak12	trough0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	1	5	0	0.9	0.00017307026652821	0	3
AT2G30540	-3636.931640625	1888.43346446276	peak0	trough4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G19130	-3846.484375	3388.02623790026	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	3	0	0.666666666666667	0.00017307026652821	0	4
AT2G02800	-4216.400390625	3146.79479258776	peak12	trough0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	5	0	0.9	0.00017307026652821	0	3
AT2G02760	-4066.8154296875	3507.43956797838	peak12	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G02810	-3517.71411132812	3564.70421641588	peak12	trough0	1	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	5	0	0.7	0.00017307026652821	0	3
AT2G02710	-2630.77905273438	2302.48619883776	peak0	trough16	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	4	0	1	0.00017307026652821	0	3
AT2G02740	-3414.02807617188	3891.59166758776	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G30490	-3772.45458984375	1276.16356700182	peak0	trough8	0	0	0	1	0	0	1	0	1	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT2G30590	-3653.5361328125	1664.16393321276	peak0	trough8	0	1	0	1	0	0	1	0	0	0	0	0	1	0	0	1	5	0	1	0.00017307026652821	0	3
AT2G30530	-3820.10009765625	1700.38597911119	peak20	trough8	0	1	0	1	0	0	1	0	0	0	0	0	1	1	0	0	5	0	1	0.00017307026652821	0	3
AT2G33830	-4259.87353515625	3229.31871836901	peak8	trough4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G33810	-3592.40673828125	1849.88915293932	peak0	trough4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G33860	-3657.26293945312	4100.30358165026	peak8	trough0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
AT2G33700	-3277.40454101562	1497.31884043932	peak0	trough8	0	1	0	1	0	0	1	0	0	1	0	0	1	0	0	0	5	0	0.8	0.00017307026652821	0	3
AT2G33680	-4065.45166015625	3947.68883555651	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G33800	-3773.83544921875	1901.36412852526	peak16	trough4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	2	0	1	0.00017307026652821	0	3
AT2G26260	-3172.35498046875	3907.28600352526	peak12	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G34850	-3391.7373046875	4159.44957774401	peak8	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G35060	-2476.56079101562	2837.66710704088	peak4	trough16	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	1	4	0	1	0.00017307026652821	0	3
AT2G34790	-2555.49584960938	2128.37487071276	peak0	trough16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G34960	-3455.47705078125	1109.97338145494	peak16	trough12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G26210	-3580.21997070312	1905.72277110338	peak0	trough4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G44500	-3306.14501953125	1769.58519786119	peak0	trough8	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	4	0	1	0.00017307026652821	0	3
AT2G44490	-3517.75122070312	4187.36119883776	peak8	trough0	0	1	0	1	0	0	1	0	0	1	0	0	1	1	0	0	6	0	0.8	0.00017307026652821	0	3
AT2G44450	-3925.666015625	3772.61217540026	peak16	trough0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	NA	0.00017307026652821	0	4
AT2G26170	-3668.68139648438	1254.44384043932	peak0	trough8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0.00017307026652821	0	4
AT2G26340	-3652.50244140625	1822.18822520494	peak20	trough4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	NA	0.00017307026652821	0	4
