"p.value"	"enrichment"	"gene.table"
"1"	6.31667101329211e-44	12.9291769071992	"AT1G03900"
"2"	6.31667101329211e-44	12.9291769071992	"AT1G05570"
"3"	6.31667101329211e-44	12.9291769071992	"AT1G20840"
"4"	6.31667101329211e-44	12.9291769071992	"AT1G27450"
"5"	6.31667101329211e-44	12.9291769071992	"AT1G30640"
"6"	6.31667101329211e-44	12.9291769071992	"AT1G48320"
"7"	6.31667101329211e-44	12.9291769071992	"AT1G60440"
"8"	6.31667101329211e-44	12.9291769071992	"AT1G61360"
"9"	6.31667101329211e-44	12.9291769071992	"AT1G61420"
"10"	6.31667101329211e-44	12.9291769071992	"AT1G64330"
"11"	6.31667101329211e-44	12.9291769071992	"AT1G67720"
"12"	6.31667101329211e-44	12.9291769071992	"AT1G69840"
"13"	6.31667101329211e-44	12.9291769071992	"AT2G01420"
"14"	6.31667101329211e-44	12.9291769071992	"AT2G13650"
"15"	6.31667101329211e-44	12.9291769071992	"AT2G20950"
"16"	6.31667101329211e-44	12.9291769071992	"AT2G22660"
"17"	6.31667101329211e-44	12.9291769071992	"AT2G27060"
"18"	6.31667101329211e-44	12.9291769071992	"AT2G28085"
"19"	6.31667101329211e-44	12.9291769071992	"AT2G40140"
"20"	6.31667101329211e-44	12.9291769071992	"AT2G42290"
"21"	6.31667101329211e-44	12.9291769071992	"AT2G47680"
"22"	6.31667101329211e-44	12.9291769071992	"AT3G13930"
"23"	6.31667101329211e-44	12.9291769071992	"AT3G16940"
"24"	6.31667101329211e-44	12.9291769071992	"AT3G18035"
"25"	6.31667101329211e-44	12.9291769071992	"AT3G19930"
"26"	6.31667101329211e-44	12.9291769071992	"AT3G21240"
"27"	6.31667101329211e-44	12.9291769071992	"AT3G21790"
"28"	6.31667101329211e-44	12.9291769071992	"AT3G22120"
"29"	6.31667101329211e-44	12.9291769071992	"AT3G26680"
"30"	6.31667101329211e-44	12.9291769071992	"AT3G27380"
"31"	6.31667101329211e-44	12.9291769071992	"AT3G27560"
"32"	6.31667101329211e-44	12.9291769071992	"AT3G47930"
"33"	6.31667101329211e-44	12.9291769071992	"AT3G60450"
"34"	6.31667101329211e-44	12.9291769071992	"AT3G60750"
"35"	6.31667101329211e-44	12.9291769071992	"AT4G00040"
"36"	6.31667101329211e-44	12.9291769071992	"AT4G00330"
"37"	6.31667101329211e-44	12.9291769071992	"AT4G11830"
"38"	6.31667101329211e-44	12.9291769071992	"AT4G15545"
"39"	6.31667101329211e-44	12.9291769071992	"AT4G20270"
"40"	6.31667101329211e-44	12.9291769071992	"AT4G30350"
"41"	6.31667101329211e-44	12.9291769071992	"AT4G33430"
"42"	6.31667101329211e-44	12.9291769071992	"AT4G39070"
"43"	6.31667101329211e-44	12.9291769071992	"AT5G01650"
"44"	6.31667101329211e-44	12.9291769071992	"AT5G03730"
"45"	6.31667101329211e-44	12.9291769071992	"AT5G04710"
"46"	6.31667101329211e-44	12.9291769071992	"AT5G09440"
"47"	6.31667101329211e-44	12.9291769071992	"AT5G09800"
"48"	6.31667101329211e-44	12.9291769071992	"AT5G13550"
"49"	6.31667101329211e-44	12.9291769071992	"AT5G20960"
"50"	6.31667101329211e-44	12.9291769071992	"AT5G39580"
"51"	6.31667101329211e-44	12.9291769071992	"AT5G49680"
"52"	6.31667101329211e-44	12.9291769071992	"AT5G53450"
"53"	6.31667101329211e-44	12.9291769071992	"AT5G56870"
"54"	6.31667101329211e-44	12.9291769071992	"AT5G57830"
"55"	6.31667101329211e-44	12.9291769071992	"AT5G67490"
