"p.value"	"enrichment"	"gene.table"
"1"	1.49992586595904e-70	14.5751689953404	"AT1G03630"
"2"	1.49992586595904e-70	14.5751689953404	"AT1G06430"
"3"	1.49992586595904e-70	14.5751689953404	"AT1G12900"
"4"	1.49992586595904e-70	14.5751689953404	"AT1G15830"
"5"	1.49992586595904e-70	14.5751689953404	"AT1G21640"
"6"	1.49992586595904e-70	14.5751689953404	"AT1G30690"
"7"	1.49992586595904e-70	14.5751689953404	"AT1G31230"
"8"	1.49992586595904e-70	14.5751689953404	"AT1G43170"
"9"	1.49992586595904e-70	14.5751689953404	"AT1G48630"
"10"	1.49992586595904e-70	14.5751689953404	"AT1G49840"
"11"	1.49992586595904e-70	14.5751689953404	"AT1G61500"
"12"	1.49992586595904e-70	14.5751689953404	"AT1G62840"
"13"	1.49992586595904e-70	14.5751689953404	"AT1G64780"
"14"	1.49992586595904e-70	14.5751689953404	"AT1G72230"
"15"	1.49992586595904e-70	14.5751689953404	"AT1G73750"
"16"	1.49992586595904e-70	14.5751689953404	"AT1G74640"
"17"	1.49992586595904e-70	14.5751689953404	"AT1G77230"
"18"	1.49992586595904e-70	14.5751689953404	"AT1G78120"
"19"	1.49992586595904e-70	14.5751689953404	"AT1G79270"
"20"	1.49992586595904e-70	14.5751689953404	"AT1G79770"
"21"	1.49992586595904e-70	14.5751689953404	"AT2G07050"
"22"	1.49992586595904e-70	14.5751689953404	"AT2G17980"
"23"	1.49992586595904e-70	14.5751689953404	"AT2G24050"
"24"	1.49992586595904e-70	14.5751689953404	"AT2G29360"
"25"	1.49992586595904e-70	14.5751689953404	"AT2G31390"
"26"	1.49992586595904e-70	14.5751689953404	"AT2G35155"
"27"	1.49992586595904e-70	14.5751689953404	"AT2G37790"
"28"	1.49992586595904e-70	14.5751689953404	"AT2G39980"
"29"	1.49992586595904e-70	14.5751689953404	"AT2G41890"
"30"	1.49992586595904e-70	14.5751689953404	"AT2G43010"
"31"	1.49992586595904e-70	14.5751689953404	"AT2G47990"
"32"	1.49992586595904e-70	14.5751689953404	"AT3G05630"
"33"	1.49992586595904e-70	14.5751689953404	"AT3G10080"
"34"	1.49992586595904e-70	14.5751689953404	"AT3G11690"
"35"	1.49992586595904e-70	14.5751689953404	"AT3G13640"
"36"	1.49992586595904e-70	14.5751689953404	"AT3G14570"
"37"	1.49992586595904e-70	14.5751689953404	"AT3G15680"
"38"	1.49992586595904e-70	14.5751689953404	"AT3G22840"
"39"	1.49992586595904e-70	14.5751689953404	"AT3G26310"
"40"	1.49992586595904e-70	14.5751689953404	"AT3G26570"
"41"	1.49992586595904e-70	14.5751689953404	"AT3G27660"
"42"	1.49992586595904e-70	14.5751689953404	"AT3G27930"
"43"	1.49992586595904e-70	14.5751689953404	"AT3G28220"
"44"	1.49992586595904e-70	14.5751689953404	"AT3G28720"
"45"	1.49992586595904e-70	14.5751689953404	"AT3G45780"
"46"	1.49992586595904e-70	14.5751689953404	"AT3G46290"
"47"	1.49992586595904e-70	14.5751689953404	"AT3G47470"
"48"	1.49992586595904e-70	14.5751689953404	"AT3G50760"
"49"	1.49992586595904e-70	14.5751689953404	"AT3G52880"
"50"	1.49992586595904e-70	14.5751689953404	"AT3G54720"
"51"	1.49992586595904e-70	14.5751689953404	"AT3G57490"
"52"	1.49992586595904e-70	14.5751689953404	"AT3G61830"
"53"	1.49992586595904e-70	14.5751689953404	"AT4G15490"
"54"	1.49992586595904e-70	14.5751689953404	"AT4G17810"
"55"	1.49992586595904e-70	14.5751689953404	"AT4G19710"
"56"	1.49992586595904e-70	14.5751689953404	"AT4G24780"
"57"	1.49992586595904e-70	14.5751689953404	"AT4G24830"
"58"	1.49992586595904e-70	14.5751689953404	"AT4G34050"
"59"	1.49992586595904e-70	14.5751689953404	"AT4G34350"
"60"	1.49992586595904e-70	14.5751689953404	"AT4G36020"
"61"	1.49992586595904e-70	14.5751689953404	"AT4G36220"
"62"	1.49992586595904e-70	14.5751689953404	"AT5G02760"
"63"	1.49992586595904e-70	14.5751689953404	"AT5G06110"
"64"	1.49992586595904e-70	14.5751689953404	"AT5G06460"
"65"	1.49992586595904e-70	14.5751689953404	"AT5G11700"
"66"	1.49992586595904e-70	14.5751689953404	"AT5G11710"
"67"	1.49992586595904e-70	14.5751689953404	"AT5G17790"
"68"	1.49992586595904e-70	14.5751689953404	"AT5G20220"
"69"	1.49992586595904e-70	14.5751689953404	"AT5G24380"
"70"	1.49992586595904e-70	14.5751689953404	"AT5G33390"
"71"	1.49992586595904e-70	14.5751689953404	"AT5G42720"
"72"	1.49992586595904e-70	14.5751689953404	"AT5G46280"
"73"	1.49992586595904e-70	14.5751689953404	"AT5G48520"
"74"	1.49992586595904e-70	14.5751689953404	"AT5G55400"
"75"	1.49992586595904e-70	14.5751689953404	"AT5G55590"
"76"	1.49992586595904e-70	14.5751689953404	"AT5G58870"
"77"	1.49992586595904e-70	14.5751689953404	"AT5G59430"
"78"	1.49992586595904e-70	14.5751689953404	"AT5G62170"
"79"	1.49992586595904e-70	14.5751689953404	"AT5G62280"
"80"	1.49992586595904e-70	14.5751689953404	"AT5G65480"
"81"	1.49992586595904e-70	14.5751689953404	"AT5G65890"
"82"	1.49992586595904e-70	14.5751689953404	"AT5G67030"
