"p.value"	"enrichment"	"gene.table"
"1"	9.51206873868398e-17	16.3330765729491	"AT1G03630"
"2"	9.51206873868398e-17	16.3330765729491	"AT1G31230"
"3"	9.51206873868398e-17	16.3330765729491	"AT1G43170"
"4"	9.51206873868398e-17	16.3330765729491	"AT1G74640"
"5"	9.51206873868398e-17	16.3330765729491	"AT2G17980"
"6"	9.51206873868398e-17	16.3330765729491	"AT2G31390"
"7"	9.51206873868398e-17	16.3330765729491	"AT2G35155"
"8"	9.51206873868398e-17	16.3330765729491	"AT2G37790"
"9"	9.51206873868398e-17	16.3330765729491	"AT3G05630"
"10"	9.51206873868398e-17	16.3330765729491	"AT3G27930"
"11"	9.51206873868398e-17	16.3330765729491	"AT3G52880"
"12"	9.51206873868398e-17	16.3330765729491	"AT4G15490"
"13"	9.51206873868398e-17	16.3330765729491	"AT4G24830"
"14"	9.51206873868398e-17	16.3330765729491	"AT4G34050"
"15"	9.51206873868398e-17	16.3330765729491	"AT5G06460"
"16"	9.51206873868398e-17	16.3330765729491	"AT5G17790"
"17"	9.51206873868398e-17	16.3330765729491	"AT5G46280"
"18"	9.51206873868398e-17	16.3330765729491	"AT5G55400"
