p.value	enrichment	genes
1	1.3085692095288e-17	6.20567519072112	AT1G10090
2	NA	NA	AT1G20696
3	NA	NA	AT1G22770
4	NA	NA	AT1G60800
5	NA	NA	AT1G70420
6	NA	NA	AT1G78600
7	NA	NA	AT2G16365
8	NA	NA	AT2G21660
9	NA	NA	AT2G36410
10	NA	NA	AT2G45590
11	NA	NA	AT2G45660
12	NA	NA	AT2G46060
13	NA	NA	AT3G05220
14	NA	NA	AT3G05800
15	NA	NA	AT3G18080
16	NA	NA	AT3G46630
17	NA	NA	AT3G47160
18	NA	NA	AT3G60380
19	NA	NA	AT4G01026
20	NA	NA	AT4G03210
21	NA	NA	AT4G04330
22	NA	NA	AT4G14230
23	NA	NA	AT4G25480
24	NA	NA	AT4G27440
25	NA	NA	AT4G27820
26	NA	NA	AT4G33980
27	NA	NA	AT4G39090
28	NA	NA	AT5G08330
29	NA	NA	AT5G24470
30	NA	NA	AT5G42900
31	NA	NA	AT5G48250
32	NA	NA	AT5G58070
33	NA	NA	AT5G61810
34	NA	NA	AT5G63810
