p.value	enrichment	genes
1	8.68161118455575e-17	6.57211890673429	AT1G07420
2	NA	NA	AT1G10090
3	NA	NA	AT1G11210
4	NA	NA	AT1G12710
5	NA	NA	AT1G20696
6	NA	NA	AT1G21680
7	NA	NA	AT1G22770
8	NA	NA	AT1G70420
9	NA	NA	AT1G78380
10	NA	NA	AT2G16365
11	NA	NA	AT2G17840
12	NA	NA	AT2G21660
13	NA	NA	AT2G36410
14	NA	NA	AT2G45590
15	NA	NA	AT3G05220
16	NA	NA	AT3G17020
17	NA	NA	AT3G18080
18	NA	NA	AT3G27210
19	NA	NA	AT3G51400
20	NA	NA	AT3G51660
21	NA	NA	AT4G04330
22	NA	NA	AT4G11600
23	NA	NA	AT4G33980
24	NA	NA	AT4G39090
25	NA	NA	AT4G39260
26	NA	NA	AT5G05410
27	NA	NA	AT5G08330
28	NA	NA	AT5G24470
29	NA	NA	AT5G48250
30	NA	NA	AT5G57630
31	NA	NA	AT5G58070
