p.value	enrichment	genes
1	4.95650488295267e-22	3.15535636398055	AT1G01540
2	NA	NA	AT1G01550
3	NA	NA	AT1G03090
4	NA	NA	AT1G06410
5	NA	NA	AT1G09070
6	NA	NA	AT1G09390
7	NA	NA	AT1G10020
8	NA	NA	AT1G11260
9	NA	NA	AT1G13260
10	NA	NA	AT1G19770
11	NA	NA	AT1G21910
12	NA	NA	AT1G23390
13	NA	NA	AT1G23710
14	NA	NA	AT1G25550
15	NA	NA	AT1G28130
16	NA	NA	AT1G35140
17	NA	NA	AT1G37130
18	NA	NA	AT1G49500
19	NA	NA	AT1G51950
20	NA	NA	AT1G66160
21	NA	NA	AT1G66180
22	NA	NA	AT1G68670
23	NA	NA	AT1G68840
24	NA	NA	AT1G72820
25	NA	NA	AT1G73670
26	NA	NA	AT1G76600
27	NA	NA	AT1G76990
28	NA	NA	AT1G80440
29	NA	NA	AT2G01590
30	NA	NA	AT2G01850
31	NA	NA	AT2G18090
32	NA	NA	AT2G27500
33	NA	NA	AT2G30040
34	NA	NA	AT2G36950
35	NA	NA	AT2G38310
36	NA	NA	AT2G40000
37	NA	NA	AT3G01560
38	NA	NA	AT3G04730
39	NA	NA	AT3G11700
40	NA	NA	AT3G12150
41	NA	NA	AT3G12630
42	NA	NA	AT3G14990
43	NA	NA	AT3G15850
44	NA	NA	AT3G19680
45	NA	NA	AT3G24550
46	NA	NA	AT3G26810
47	NA	NA	AT3G30775
48	NA	NA	AT3G47430
49	NA	NA	AT3G49220
50	NA	NA	AT3G49790
51	NA	NA	AT3G55430
52	NA	NA	AT3G55980
53	NA	NA	AT3G56360
54	NA	NA	AT3G61580
55	NA	NA	AT3G63010
56	NA	NA	AT4G01720
57	NA	NA	AT4G08950
58	NA	NA	AT4G27657
59	NA	NA	AT4G27940
60	NA	NA	AT4G30210
61	NA	NA	AT4G30270
62	NA	NA	AT4G32030
63	NA	NA	AT4G34150
64	NA	NA	AT4G39400
65	NA	NA	AT5G05440
66	NA	NA	AT5G11090
67	NA	NA	AT5G13100
68	NA	NA	AT5G13760
69	NA	NA	AT5G14730
70	NA	NA	AT5G18630
71	NA	NA	AT5G20250
72	NA	NA	AT5G22940
73	NA	NA	AT5G25280
74	NA	NA	AT5G27350
75	NA	NA	AT5G41080
76	NA	NA	AT5G49480
77	NA	NA	AT5G51460
78	NA	NA	AT5G56980
79	NA	NA	AT5G58650
80	NA	NA	AT5G59730
81	NA	NA	AT5G60680
82	NA	NA	AT5G60850
