p.value	enrichment	genes
1	7.36528320768446e-35	17.870951829083	AT1G01550
2	NA	NA	AT1G06410
3	NA	NA	AT1G09070
4	NA	NA	AT1G19770
5	NA	NA	AT1G22190
6	NA	NA	AT1G35140
7	NA	NA	AT1G37130
8	NA	NA	AT1G57680
9	NA	NA	AT1G66160
10	NA	NA	AT1G66180
11	NA	NA	AT1G68840
12	NA	NA	AT1G73670
13	NA	NA	AT1G74450
14	NA	NA	AT1G76600
15	NA	NA	AT2G01850
16	NA	NA	AT2G30040
17	NA	NA	AT2G40000
18	NA	NA	AT3G12630
19	NA	NA	AT3G19680
20	NA	NA	AT3G47430
21	NA	NA	AT3G55430
22	NA	NA	AT3G55980
23	NA	NA	AT4G02380
24	NA	NA	AT4G08950
25	NA	NA	AT4G27657
26	NA	NA	AT4G27940
27	NA	NA	AT4G30270
28	NA	NA	AT4G32030
29	NA	NA	AT4G34150
30	NA	NA	AT5G05440
31	NA	NA	AT5G13100
32	NA	NA	AT5G17350
33	NA	NA	AT5G22940
34	NA	NA	AT5G51460
35	NA	NA	AT5G57560
36	NA	NA	AT5G59730
