p.value	enrichment	genes
1	4.58900459491104e-12	4.51476503311874	AT1G03130
2	NA	NA	AT1G06040
3	NA	NA	AT1G15820
4	NA	NA	AT1G18330
5	NA	NA	AT1G19050
6	NA	NA	AT1G62380
7	NA	NA	AT1G72500
8	NA	NA	AT1G73480
9	NA	NA	AT1G73870
10	NA	NA	AT2G27420
11	NA	NA	AT2G30570
12	NA	NA	AT2G43010
13	NA	NA	AT2G46680
14	NA	NA	AT3G08940
15	NA	NA	AT3G13640
16	NA	NA	AT3G22840
17	NA	NA	AT3G27690
18	NA	NA	AT3G47470
19	NA	NA	AT3G47500
20	NA	NA	AT3G59060
21	NA	NA	AT4G32020
22	NA	NA	AT4G36040
23	NA	NA	AT5G04200
24	NA	NA	AT5G13630
25	NA	NA	AT5G45830
26	NA	NA	AT5G54270
27	NA	NA	AT5G54470
28	NA	NA	AT5G64170
