p.value	enrichment	genes
1	1.17053681624115e-19	4.16866186298244	AT1G13260
2	NA	NA	AT1G18460
3	NA	NA	AT1G20090
4	NA	NA	AT1G23710
5	NA	NA	AT1G32460
6	NA	NA	AT1G35140
7	NA	NA	AT1G66150
8	NA	NA	AT1G68440
9	NA	NA	AT1G68670
10	NA	NA	AT1G70090
11	NA	NA	AT1G72750
12	NA	NA	AT1G73670
13	NA	NA	AT2G04690
14	NA	NA	AT2G18090
15	NA	NA	AT2G24100
16	NA	NA	AT2G24765
17	NA	NA	AT2G33700
18	NA	NA	AT2G42580
19	NA	NA	AT2G43330
20	NA	NA	AT2G44080
21	NA	NA	AT2G45960
22	NA	NA	AT2G46735
23	NA	NA	AT2G46780
24	NA	NA	AT2G46800
25	NA	NA	AT2G47440
26	NA	NA	AT2G47490
27	NA	NA	AT3G01560
28	NA	NA	AT3G08600
29	NA	NA	AT3G11700
30	NA	NA	AT3G19680
31	NA	NA	AT3G19970
32	NA	NA	AT3G26810
33	NA	NA	AT3G54920
34	NA	NA	AT3G58620
35	NA	NA	AT3G62720
36	NA	NA	AT3G63010
37	NA	NA	AT4G19140
38	NA	NA	AT4G19200
39	NA	NA	AT4G30210
40	NA	NA	AT4G34150
41	NA	NA	AT4G35470
42	NA	NA	AT4G37760
43	NA	NA	AT5G05140
44	NA	NA	AT5G07300
45	NA	NA	AT5G11690
46	NA	NA	AT5G13100
47	NA	NA	AT5G13760
48	NA	NA	AT5G25280
49	NA	NA	AT5G53160
50	NA	NA	AT5G57660
