p.value	enrichment	genes
1	1.70169176098599e-18	4.31041441247909	AT1G09570
2	NA	NA	AT1G13260
3	NA	NA	AT1G23710
4	NA	NA	AT1G66150
5	NA	NA	AT1G68440
6	NA	NA	AT1G68670
7	NA	NA	AT1G70090
8	NA	NA	AT1G72750
9	NA	NA	AT1G73670
10	NA	NA	AT2G18090
11	NA	NA	AT2G23460
12	NA	NA	AT2G24100
13	NA	NA	AT2G33700
14	NA	NA	AT2G42580
15	NA	NA	AT2G43330
16	NA	NA	AT2G44080
17	NA	NA	AT2G45960
18	NA	NA	AT2G46735
19	NA	NA	AT2G46780
20	NA	NA	AT2G46800
21	NA	NA	AT2G47440
22	NA	NA	AT2G47490
23	NA	NA	AT3G01560
24	NA	NA	AT3G08600
25	NA	NA	AT3G11700
26	NA	NA	AT3G19680
27	NA	NA	AT3G19970
28	NA	NA	AT3G26810
29	NA	NA	AT3G54920
30	NA	NA	AT3G57550
31	NA	NA	AT3G58620
32	NA	NA	AT3G62720
33	NA	NA	AT3G63010
34	NA	NA	AT4G19140
35	NA	NA	AT4G30210
36	NA	NA	AT4G34150
37	NA	NA	AT4G35470
38	NA	NA	AT5G05140
39	NA	NA	AT5G07300
40	NA	NA	AT5G13100
41	NA	NA	AT5G13760
42	NA	NA	AT5G19120
43	NA	NA	AT5G40250
44	NA	NA	AT5G53160
45	NA	NA	AT5G57660
46	NA	NA	AT5G67420
