p.value	enrichment	genes
1	3.31291571785898e-27	5.38736757260683	AT1G07050
2	NA	NA	AT1G07420
3	NA	NA	AT1G08550
4	NA	NA	AT1G10760
5	NA	NA	AT1G11210
6	NA	NA	AT1G13930
7	NA	NA	AT1G19370
8	NA	NA	AT1G20030
9	NA	NA	AT1G20696
10	NA	NA	AT1G21680
11	NA	NA	AT1G22770
12	NA	NA	AT1G25320
13	NA	NA	AT1G49720
14	NA	NA	AT1G51090
15	NA	NA	AT1G56300
16	NA	NA	AT1G68050
17	NA	NA	AT1G68500
18	NA	NA	AT1G70820
19	NA	NA	AT1G72180
20	NA	NA	AT1G76590
21	NA	NA	AT1G78600
22	NA	NA	AT2G16365
23	NA	NA	AT2G29680
24	NA	NA	AT2G36410
25	NA	NA	AT2G38670
26	NA	NA	AT2G39710
27	NA	NA	AT2G42200
28	NA	NA	AT2G45590
29	NA	NA	AT3G05220
30	NA	NA	AT3G05800
31	NA	NA	AT3G18080
32	NA	NA	AT3G26580
33	NA	NA	AT3G47160
34	NA	NA	AT3G51660
35	NA	NA	AT4G01026
36	NA	NA	AT4G02370
37	NA	NA	AT4G03210
38	NA	NA	AT4G11370
39	NA	NA	AT4G14270
40	NA	NA	AT4G16146
41	NA	NA	AT4G18240
42	NA	NA	AT4G26670
43	NA	NA	AT4G27440
44	NA	NA	AT4G32340
45	NA	NA	AT4G34910
46	NA	NA	AT5G02810
47	NA	NA	AT5G05410
48	NA	NA	AT5G06690
49	NA	NA	AT5G08330
50	NA	NA	AT5G11060
51	NA	NA	AT5G14270
52	NA	NA	AT5G14550
53	NA	NA	AT5G24470
54	NA	NA	AT5G42250
55	NA	NA	AT5G42900
56	NA	NA	AT5G57110
57	NA	NA	AT5G62360
58	NA	NA	AT5G63810
