p.value	enrichment	genes
1	1.79281690270822e-31	2.19641548224426	AT1G01120
2	NA	NA	AT1G01550
3	NA	NA	AT1G01720
4	NA	NA	AT1G02750
5	NA	NA	AT1G03090
6	NA	NA	AT1G03610
7	NA	NA	AT1G05000
8	NA	NA	AT1G06410
9	NA	NA	AT1G08570
10	NA	NA	AT1G10020
11	NA	NA	AT1G13260
12	NA	NA	AT1G15750
13	NA	NA	AT1G17120
14	NA	NA	AT1G18620
15	NA	NA	AT1G19000
16	NA	NA	AT1G21060
17	NA	NA	AT1G21910
18	NA	NA	AT1G21980
19	NA	NA	AT1G22330
20	NA	NA	AT1G22640
21	NA	NA	AT1G23710
22	NA	NA	AT1G25520
23	NA	NA	AT1G25550
24	NA	NA	AT1G27050
25	NA	NA	AT1G27290
26	NA	NA	AT1G30110
27	NA	NA	AT1G30825
28	NA	NA	AT1G32460
29	NA	NA	AT1G32740
30	NA	NA	AT1G35140
31	NA	NA	AT1G37130
32	NA	NA	AT1G49200
33	NA	NA	AT1G49500
34	NA	NA	AT1G53090
35	NA	NA	AT1G54740
36	NA	NA	AT1G60010
37	NA	NA	AT1G65310
38	NA	NA	AT1G65930
39	NA	NA	AT1G66150
40	NA	NA	AT1G66160
41	NA	NA	AT1G66180
42	NA	NA	AT1G66200
43	NA	NA	AT1G68020
44	NA	NA	AT1G68440
45	NA	NA	AT1G68670
46	NA	NA	AT1G68840
47	NA	NA	AT1G69530
48	NA	NA	AT1G69570
49	NA	NA	AT1G70090
50	NA	NA	AT1G70290
51	NA	NA	AT1G70940
52	NA	NA	AT1G71960
53	NA	NA	AT1G71970
54	NA	NA	AT1G72750
55	NA	NA	AT1G72820
56	NA	NA	AT1G72940
57	NA	NA	AT1G73670
58	NA	NA	AT1G73830
59	NA	NA	AT1G74670
60	NA	NA	AT1G75170
61	NA	NA	AT1G75180
62	NA	NA	AT1G75500
63	NA	NA	AT1G76990
64	NA	NA	AT1G79420
65	NA	NA	AT1G79700
66	NA	NA	AT2G01850
67	NA	NA	AT2G01860
68	NA	NA	AT2G01930
69	NA	NA	AT2G02180
70	NA	NA	AT2G05790
71	NA	NA	AT2G18090
72	NA	NA	AT2G21320
73	NA	NA	AT2G22990
74	NA	NA	AT2G24100
75	NA	NA	AT2G24150
76	NA	NA	AT2G24765
77	NA	NA	AT2G26710
78	NA	NA	AT2G27050
79	NA	NA	AT2G27500
80	NA	NA	AT2G29980
81	NA	NA	AT2G30040
82	NA	NA	AT2G30590
83	NA	NA	AT2G31160
84	NA	NA	AT2G32560
85	NA	NA	AT2G33700
86	NA	NA	AT2G34070
87	NA	NA	AT2G34710
88	NA	NA	AT2G35170
89	NA	NA	AT2G36950
90	NA	NA	AT2G37970
91	NA	NA	AT2G39010
92	NA	NA	AT2G40000
93	NA	NA	AT2G41310
94	NA	NA	AT2G41630
95	NA	NA	AT2G44080
96	NA	NA	AT2G44920
97	NA	NA	AT2G45880
98	NA	NA	AT2G46735
99	NA	NA	AT2G46780
100	NA	NA	AT2G46800
101	NA	NA	AT2G47440
102	NA	NA	AT2G47490
103	NA	NA	AT2G48020
104	NA	NA	AT3G01560
105	NA	NA	AT3G02880
106	NA	NA	AT3G04730
107	NA	NA	AT3G05490
108	NA	NA	AT3G06760
109	NA	NA	AT3G07350
110	NA	NA	AT3G08600
111	NA	NA	AT3G11700
112	NA	NA	AT3G11760
113	NA	NA	AT3G13510
114	NA	NA	AT3G13810
115	NA	NA	AT3G16240
116	NA	NA	AT3G16570
117	NA	NA	AT3G16830
118	NA	NA	AT3G16850
119	NA	NA	AT3G17860
120	NA	NA	AT3G19100
121	NA	NA	AT3G19680
122	NA	NA	AT3G19860
123	NA	NA	AT3G19970
124	NA	NA	AT3G22440
125	NA	NA	AT3G23920
126	NA	NA	AT3G26520
127	NA	NA	AT3G26810
128	NA	NA	AT3G27170
129	NA	NA	AT3G27350
130	NA	NA	AT3G29240
131	NA	NA	AT3G30775
132	NA	NA	AT3G47430
133	NA	NA	AT3G47620
134	NA	NA	AT3G49220
135	NA	NA	AT3G49940
136	NA	NA	AT3G50560
137	NA	NA	AT3G51950
138	NA	NA	AT3G54920
139	NA	NA	AT3G55430
140	NA	NA	AT3G55560
141	NA	NA	AT3G55980
142	NA	NA	AT3G56360
143	NA	NA	AT3G57040
144	NA	NA	AT3G57530
145	NA	NA	AT3G57800
146	NA	NA	AT3G58620
147	NA	NA	AT3G61580
148	NA	NA	AT3G62720
149	NA	NA	AT3G63010
150	NA	NA	AT4G01720
151	NA	NA	AT4G03110
152	NA	NA	AT4G04850
153	NA	NA	AT4G08950
154	NA	NA	AT4G10040
155	NA	NA	AT4G12690
156	NA	NA	AT4G17245
157	NA	NA	AT4G18710
158	NA	NA	AT4G19140
159	NA	NA	AT4G25050
160	NA	NA	AT4G25620
161	NA	NA	AT4G27657
162	NA	NA	AT4G27940
163	NA	NA	AT4G30270
164	NA	NA	AT4G32030
165	NA	NA	AT4G32300
166	NA	NA	AT4G32870
167	NA	NA	AT4G34000
168	NA	NA	AT4G34150
169	NA	NA	AT4G37300
170	NA	NA	AT4G37760
171	NA	NA	AT4G38470
172	NA	NA	AT5G01090
173	NA	NA	AT5G01800
174	NA	NA	AT5G01820
175	NA	NA	AT5G05140
176	NA	NA	AT5G05440
177	NA	NA	AT5G06530
178	NA	NA	AT5G06980
179	NA	NA	AT5G10450
180	NA	NA	AT5G11090
181	NA	NA	AT5G11690
182	NA	NA	AT5G12440
183	NA	NA	AT5G13100
184	NA	NA	AT5G13760
185	NA	NA	AT5G14740
186	NA	NA	AT5G14760
187	NA	NA	AT5G15210
188	NA	NA	AT5G18630
189	NA	NA	AT5G18650
190	NA	NA	AT5G18670
191	NA	NA	AT5G19200
192	NA	NA	AT5G20110
193	NA	NA	AT5G22940
194	NA	NA	AT5G23730
195	NA	NA	AT5G25140
196	NA	NA	AT5G25280
197	NA	NA	AT5G25460
198	NA	NA	AT5G39660
199	NA	NA	AT5G40540
200	NA	NA	AT5G41080
