p.value	enrichment	genes
1	6.77519042881162e-14	1.89732243516778	AT1G01550
2	NA	NA	AT1G01720
3	NA	NA	AT1G06410
4	NA	NA	AT1G09070
5	NA	NA	AT1G11260
6	NA	NA	AT1G13080
7	NA	NA	AT1G13260
8	NA	NA	AT1G13640
9	NA	NA	AT1G13980
10	NA	NA	AT1G18620
11	NA	NA	AT1G19770
12	NA	NA	AT1G21050
13	NA	NA	AT1G21980
14	NA	NA	AT1G23710
15	NA	NA	AT1G23870
16	NA	NA	AT1G27050
17	NA	NA	AT1G30110
18	NA	NA	AT1G32460
19	NA	NA	AT1G32740
20	NA	NA	AT1G35140
21	NA	NA	AT1G36050
22	NA	NA	AT1G49200
23	NA	NA	AT1G49500
24	NA	NA	AT1G60010
25	NA	NA	AT1G63690
26	NA	NA	AT1G65590
27	NA	NA	AT1G65930
28	NA	NA	AT1G66160
29	NA	NA	AT1G66230
30	NA	NA	AT1G68440
31	NA	NA	AT1G69570
32	NA	NA	AT1G70090
33	NA	NA	AT1G70290
34	NA	NA	AT1G72820
35	NA	NA	AT1G73670
36	NA	NA	AT1G76600
37	NA	NA	AT1G77640
38	NA	NA	AT1G80920
39	NA	NA	AT2G01850
40	NA	NA	AT2G02710
41	NA	NA	AT2G04795
42	NA	NA	AT2G05790
43	NA	NA	AT2G06850
44	NA	NA	AT2G16280
45	NA	NA	AT2G18090
46	NA	NA	AT2G18300
47	NA	NA	AT2G18700
48	NA	NA	AT2G22990
49	NA	NA	AT2G24765
50	NA	NA	AT2G27500
51	NA	NA	AT2G28110
52	NA	NA	AT2G31070
53	NA	NA	AT2G31820
54	NA	NA	AT2G34710
55	NA	NA	AT2G39570
56	NA	NA	AT2G39660
57	NA	NA	AT2G40000
58	NA	NA	AT2G41630
59	NA	NA	AT2G43060
60	NA	NA	AT2G43680
61	NA	NA	AT2G44920
62	NA	NA	AT2G45880
63	NA	NA	AT2G46030
64	NA	NA	AT2G46220
65	NA	NA	AT3G01560
66	NA	NA	AT3G04730
67	NA	NA	AT3G12360
68	NA	NA	AT3G16240
69	NA	NA	AT3G16830
70	NA	NA	AT3G16850
71	NA	NA	AT3G19850
72	NA	NA	AT3G22420
73	NA	NA	AT3G23805
74	NA	NA	AT3G24550
75	NA	NA	AT3G26810
76	NA	NA	AT3G28040
77	NA	NA	AT3G29035
78	NA	NA	AT3G29240
79	NA	NA	AT3G30775
80	NA	NA	AT3G46600
81	NA	NA	AT3G47340
82	NA	NA	AT3G50740
83	NA	NA	AT3G55430
84	NA	NA	AT3G55560
85	NA	NA	AT3G55980
86	NA	NA	AT3G59950
87	NA	NA	AT3G61600
88	NA	NA	AT3G62720
89	NA	NA	AT4G00710
90	NA	NA	AT4G00955
91	NA	NA	AT4G01720
92	NA	NA	AT4G03110
93	NA	NA	AT4G04630
94	NA	NA	AT4G08920
95	NA	NA	AT4G09890
96	NA	NA	AT4G11330
97	NA	NA	AT4G12420
98	NA	NA	AT4G14300
99	NA	NA	AT4G14500
100	NA	NA	AT4G16990
101	NA	NA	AT4G17080
102	NA	NA	AT4G17460
103	NA	NA	AT4G18710
104	NA	NA	AT4G19200
105	NA	NA	AT4G30210
106	NA	NA	AT4G32300
107	NA	NA	AT4G34540
108	NA	NA	AT4G38470
109	NA	NA	AT5G03520
110	NA	NA	AT5G04040
111	NA	NA	AT5G05440
112	NA	NA	AT5G05860
113	NA	NA	AT5G06980
114	NA	NA	AT5G10450
115	NA	NA	AT5G11090
116	NA	NA	AT5G14120
117	NA	NA	AT5G18630
118	NA	NA	AT5G21170
119	NA	NA	AT5G25140
120	NA	NA	AT5G25280
121	NA	NA	AT5G27350
122	NA	NA	AT5G38560
123	NA	NA	AT5G39080
124	NA	NA	AT5G41080
125	NA	NA	AT5G49170
126	NA	NA	AT5G49480
127	NA	NA	AT5G51460
128	NA	NA	AT5G53160
129	NA	NA	AT5G53970
130	NA	NA	AT5G54260
131	NA	NA	AT5G58650
132	NA	NA	AT5G61670
133	NA	NA	AT5G62130
134	NA	NA	AT5G64410
135	NA	NA	AT5G64850
136	NA	NA	AT5G65700
