p.value	enrichment	genes
1	1.54125017230695e-07	1.39364918279365	AT1G02205
2	NA	NA	AT1G03600
3	NA	NA	AT1G03630
4	NA	NA	AT1G04180
5	NA	NA	AT1G04250
6	NA	NA	AT1G07180
7	NA	NA	AT1G09310
8	NA	NA	AT1G12860
9	NA	NA	AT1G14580
10	NA	NA	AT1G15950
11	NA	NA	AT1G17050
12	NA	NA	AT1G18740
13	NA	NA	AT1G19640
14	NA	NA	AT1G21080
15	NA	NA	AT1G21640
16	NA	NA	AT1G22750
17	NA	NA	AT1G26920
18	NA	NA	AT1G27120
19	NA	NA	AT1G28610
20	NA	NA	AT1G30690
21	NA	NA	AT1G32540
22	NA	NA	AT1G33260
23	NA	NA	AT1G41830
24	NA	NA	AT1G48100
25	NA	NA	AT1G48840
26	NA	NA	AT1G49450
27	NA	NA	AT1G49840
28	NA	NA	AT1G51700
29	NA	NA	AT1G52230
30	NA	NA	AT1G54130
31	NA	NA	AT1G56070
32	NA	NA	AT1G58360
33	NA	NA	AT1G59740
34	NA	NA	AT1G60190
35	NA	NA	AT1G61800
36	NA	NA	AT1G62380
37	NA	NA	AT1G62520
38	NA	NA	AT1G62710
39	NA	NA	AT1G63850
40	NA	NA	AT1G64190
41	NA	NA	AT1G64780
42	NA	NA	AT1G64900
43	NA	NA	AT1G70210
44	NA	NA	AT1G70580
45	NA	NA	AT1G70610
46	NA	NA	AT1G73390
47	NA	NA	AT1G73480
48	NA	NA	AT1G73750
49	NA	NA	AT1G73870
50	NA	NA	AT1G74710
51	NA	NA	AT1G74730
52	NA	NA	AT1G75280
53	NA	NA	AT1G76360
54	NA	NA	AT1G77280
55	NA	NA	AT1G80820
56	NA	NA	AT2G20610
57	NA	NA	AT2G22540
58	NA	NA	AT2G29090
59	NA	NA	AT2G29360
60	NA	NA	AT2G29670
61	NA	NA	AT2G29970
62	NA	NA	AT2G32150
63	NA	NA	AT2G33590
64	NA	NA	AT2G34620
65	NA	NA	AT2G35700
66	NA	NA	AT2G36870
67	NA	NA	AT2G36910
68	NA	NA	AT2G40400
69	NA	NA	AT2G40435
70	NA	NA	AT2G42190
71	NA	NA	AT2G42880
72	NA	NA	AT2G43010
73	NA	NA	AT2G44940
74	NA	NA	AT2G45310
75	NA	NA	AT2G45600
76	NA	NA	AT2G46660
77	NA	NA	AT2G46680
78	NA	NA	AT2G46710
79	NA	NA	AT3G01810
80	NA	NA	AT3G06470
81	NA	NA	AT3G07360
82	NA	NA	AT3G08940
83	NA	NA	AT3G11670
84	NA	NA	AT3G11900
