p.value	enrichment	genes
1	6.71347135724315e-11	2.87093930041921	AT1G01550
2	NA	NA	AT1G01720
3	NA	NA	AT1G06410
4	NA	NA	AT1G09070
5	NA	NA	AT1G19000
6	NA	NA	AT1G19770
7	NA	NA	AT1G35140
8	NA	NA	AT1G37130
9	NA	NA	AT1G66160
10	NA	NA	AT1G66180
11	NA	NA	AT1G68440
12	NA	NA	AT1G68840
13	NA	NA	AT1G70090
14	NA	NA	AT1G73670
15	NA	NA	AT1G76600
16	NA	NA	AT2G01850
17	NA	NA	AT2G28130
18	NA	NA	AT2G30040
19	NA	NA	AT2G39010
20	NA	NA	AT2G40000
21	NA	NA	AT2G44920
22	NA	NA	AT3G12630
23	NA	NA	AT3G16830
24	NA	NA	AT3G19680
25	NA	NA	AT3G47430
26	NA	NA	AT3G55430
27	NA	NA	AT3G55980
28	NA	NA	AT3G57530
29	NA	NA	AT3G59950
30	NA	NA	AT4G08950
31	NA	NA	AT4G16780
32	NA	NA	AT4G27657
33	NA	NA	AT4G27940
34	NA	NA	AT4G30270
35	NA	NA	AT4G32030
36	NA	NA	AT4G33666
37	NA	NA	AT4G34150
38	NA	NA	AT5G05440
39	NA	NA	AT5G06980
40	NA	NA	AT5G13100
41	NA	NA	AT5G22940
42	NA	NA	AT5G51460
43	NA	NA	AT5G59730
44	NA	NA	AT5G62130
