p.value	enrichment	genes
1	1.1893812457172e-46	6.50271205259864	AT1G01060
2	NA	NA	AT1G01550
3	NA	NA	AT1G03090
4	NA	NA	AT1G06410
5	NA	NA	AT1G10020
6	NA	NA	AT1G13260
7	NA	NA	AT1G21910
8	NA	NA	AT1G22190
9	NA	NA	AT1G23710
10	NA	NA	AT1G25550
11	NA	NA	AT1G25560
12	NA	NA	AT1G31420
13	NA	NA	AT1G35140
14	NA	NA	AT1G37130
15	NA	NA	AT1G49500
16	NA	NA	AT1G57680
17	NA	NA	AT1G66160
18	NA	NA	AT1G66180
19	NA	NA	AT1G68670
20	NA	NA	AT1G68840
21	NA	NA	AT1G72820
22	NA	NA	AT1G73670
23	NA	NA	AT1G76990
24	NA	NA	AT2G01850
25	NA	NA	AT2G18090
26	NA	NA	AT2G22470
27	NA	NA	AT2G24790
28	NA	NA	AT2G27500
29	NA	NA	AT2G30040
30	NA	NA	AT2G30490
31	NA	NA	AT2G36950
32	NA	NA	AT2G40000
33	NA	NA	AT3G01560
34	NA	NA	AT3G01820
35	NA	NA	AT3G04730
36	NA	NA	AT3G11700
37	NA	NA	AT3G16500
38	NA	NA	AT3G19680
39	NA	NA	AT3G23030
40	NA	NA	AT3G26810
41	NA	NA	AT3G30775
42	NA	NA	AT3G47430
43	NA	NA	AT3G49220
44	NA	NA	AT3G50790
45	NA	NA	AT3G52060
46	NA	NA	AT3G53420
47	NA	NA	AT3G54140
48	NA	NA	AT3G55430
49	NA	NA	AT3G55980
50	NA	NA	AT3G56360
51	NA	NA	AT3G61580
52	NA	NA	AT3G62980
53	NA	NA	AT3G63010
54	NA	NA	AT4G00730
55	NA	NA	AT4G01250
56	NA	NA	AT4G01720
57	NA	NA	AT4G08950
58	NA	NA	AT4G25470
59	NA	NA	AT4G27657
60	NA	NA	AT4G27940
61	NA	NA	AT4G28240
62	NA	NA	AT4G30270
63	NA	NA	AT4G32030
64	NA	NA	AT4G34150
65	NA	NA	AT5G03140
66	NA	NA	AT5G05440
67	NA	NA	AT5G11090
68	NA	NA	AT5G12230
69	NA	NA	AT5G13100
70	NA	NA	AT5G13760
71	NA	NA	AT5G18630
72	NA	NA	AT5G19120
73	NA	NA	AT5G22940
74	NA	NA	AT5G24870
75	NA	NA	AT5G25280
76	NA	NA	AT5G40250
77	NA	NA	AT5G41080
78	NA	NA	AT5G51460
79	NA	NA	AT5G56980
80	NA	NA	AT5G57560
81	NA	NA	AT5G58650
82	NA	NA	AT5G59730
83	NA	NA	AT5G60680
84	NA	NA	AT5G60850
85	NA	NA	AT5G65430
86	NA	NA	AT5G67420
