p.value	enrichment	genes
1	1.26778857160918e-29	7.69991679096467	AT1G09570
2	NA	NA	AT1G13260
3	NA	NA	AT1G23710
4	NA	NA	AT1G32460
5	NA	NA	AT1G35140
6	NA	NA	AT1G66150
7	NA	NA	AT1G68440
8	NA	NA	AT1G68670
9	NA	NA	AT1G70090
10	NA	NA	AT1G72750
11	NA	NA	AT1G73670
12	NA	NA	AT2G18090
13	NA	NA	AT2G23460
14	NA	NA	AT2G24100
15	NA	NA	AT2G24765
16	NA	NA	AT2G33700
17	NA	NA	AT2G44080
18	NA	NA	AT2G46735
19	NA	NA	AT2G46780
20	NA	NA	AT2G46800
21	NA	NA	AT2G47440
22	NA	NA	AT2G47490
23	NA	NA	AT3G01560
24	NA	NA	AT3G08600
25	NA	NA	AT3G11700
26	NA	NA	AT3G19680
27	NA	NA	AT3G19970
28	NA	NA	AT3G26810
29	NA	NA	AT3G54920
30	NA	NA	AT3G58620
31	NA	NA	AT3G62720
32	NA	NA	AT3G63010
33	NA	NA	AT4G00960
34	NA	NA	AT4G19140
35	NA	NA	AT4G34150
36	NA	NA	AT4G37760
37	NA	NA	AT5G05140
38	NA	NA	AT5G11690
39	NA	NA	AT5G13100
40	NA	NA	AT5G13760
41	NA	NA	AT5G15120
42	NA	NA	AT5G19120
43	NA	NA	AT5G25280
44	NA	NA	AT5G40250
45	NA	NA	AT5G53160
46	NA	NA	AT5G57660
47	NA	NA	AT5G67420
