p.value	enrichment	genes
1	1.53137649516438e-10	2.88978517720044	AT1G05710
2	NA	NA	AT1G08930
3	NA	NA	AT1G16880
4	NA	NA	AT1G18400
5	NA	NA	AT1G23490
6	NA	NA	AT1G27770
7	NA	NA	AT1G30640
8	NA	NA	AT1G32920
9	NA	NA	AT1G75800
10	NA	NA	AT1G78100
11	NA	NA	AT2G01420
12	NA	NA	AT2G18960
13	NA	NA	AT2G30870
14	NA	NA	AT2G40140
15	NA	NA	AT2G41100
16	NA	NA	AT2G41430
17	NA	NA	AT2G46580
18	NA	NA	AT3G07470
19	NA	NA	AT3G10500
20	NA	NA	AT3G10985
21	NA	NA	AT3G12560
22	NA	NA	AT3G18290
23	NA	NA	AT3G28180
24	NA	NA	AT3G28340
25	NA	NA	AT3G28910
26	NA	NA	AT3G49530
27	NA	NA	AT4G13340
28	NA	NA	AT4G16370
29	NA	NA	AT4G27280
30	NA	NA	AT4G30440
31	NA	NA	AT4G31390
32	NA	NA	AT4G32160
33	NA	NA	AT4G33430
34	NA	NA	AT4G36500
35	NA	NA	AT4G36920
36	NA	NA	AT4G36970
37	NA	NA	AT5G04710
38	NA	NA	AT5G07580
39	NA	NA	AT5G14710
40	NA	NA	AT5G18470
41	NA	NA	AT5G43830
42	NA	NA	AT5G47200
43	NA	NA	AT5G53450
44	NA	NA	AT5G58900
45	NA	NA	AT5G62670
46	NA	NA	AT5G66210
