p.value	enrichment	genes
1	1.48425103030962e-06	1.6333568392872	AT1G02560
2	NA	NA	AT1G05710
3	NA	NA	AT1G08930
4	NA	NA	AT1G18400
5	NA	NA	AT1G22530
6	NA	NA	AT1G23490
7	NA	NA	AT1G27770
8	NA	NA	AT1G29980
9	NA	NA	AT1G30640
10	NA	NA	AT1G32920
11	NA	NA	AT1G55120
12	NA	NA	AT1G60440
13	NA	NA	AT1G61810
14	NA	NA	AT1G67910
15	NA	NA	AT1G68130
16	NA	NA	AT1G69870
17	NA	NA	AT1G72420
18	NA	NA	AT1G75020
19	NA	NA	AT1G75800
20	NA	NA	AT1G78100
21	NA	NA	AT1G79720
22	NA	NA	AT1G80280
23	NA	NA	AT2G01420
24	NA	NA	AT2G18960
25	NA	NA	AT2G28950
26	NA	NA	AT2G30870
27	NA	NA	AT2G40140
28	NA	NA	AT2G41100
29	NA	NA	AT2G41110
30	NA	NA	AT2G41430
31	NA	NA	AT2G42040
32	NA	NA	AT2G46090
33	NA	NA	AT2G46580
34	NA	NA	AT3G07470
35	NA	NA	AT3G07580
36	NA	NA	AT3G10500
37	NA	NA	AT3G10985
38	NA	NA	AT3G12560
39	NA	NA	AT3G14310
40	NA	NA	AT3G18035
41	NA	NA	AT3G18290
42	NA	NA	AT3G22380
43	NA	NA	AT3G24890
44	NA	NA	AT3G25690
45	NA	NA	AT3G26690
46	NA	NA	AT3G27380
47	NA	NA	AT3G28180
48	NA	NA	AT3G28910
49	NA	NA	AT3G49530
50	NA	NA	AT3G50530
51	NA	NA	AT3G50650
52	NA	NA	AT3G55440
53	NA	NA	AT3G57330
54	NA	NA	AT3G58750
55	NA	NA	AT3G60750
56	NA	NA	AT4G00570
57	NA	NA	AT4G13340
58	NA	NA	AT4G15545
59	NA	NA	AT4G15800
60	NA	NA	AT4G16370
61	NA	NA	AT4G16563
62	NA	NA	AT4G27280
63	NA	NA	AT4G30340
64	NA	NA	AT4G30440
65	NA	NA	AT4G30790
66	NA	NA	AT4G31390
67	NA	NA	AT4G31800
68	NA	NA	AT4G32160
69	NA	NA	AT4G33430
70	NA	NA	AT4G36920
71	NA	NA	AT4G36970
72	NA	NA	AT4G38520
73	NA	NA	AT4G39070
74	NA	NA	AT5G02240
75	NA	NA	AT5G07580
76	NA	NA	AT5G09850
77	NA	NA	AT5G13710
78	NA	NA	AT5G14710
79	NA	NA	AT5G16470
80	NA	NA	AT5G18470
81	NA	NA	AT5G23210
82	NA	NA	AT5G43830
83	NA	NA	AT5G47200
84	NA	NA	AT5G53450
85	NA	NA	AT5G53830
86	NA	NA	AT5G54770
87	NA	NA	AT5G55850
88	NA	NA	AT5G57830
89	NA	NA	AT5G58900
90	NA	NA	AT5G62670
91	NA	NA	AT5G66210
92	NA	NA	AT5G67480
