p.value	enrichment	genes
1	5.36711248376921e-26	3.01547983167388	AT1G01060
2	NA	NA	AT1G01490
3	NA	NA	AT1G01550
4	NA	NA	AT1G01720
5	NA	NA	AT1G06410
6	NA	NA	AT1G06570
7	NA	NA	AT1G12500
8	NA	NA	AT1G13260
9	NA	NA	AT1G14740
10	NA	NA	AT1G18620
11	NA	NA	AT1G19110
12	NA	NA	AT1G21980
13	NA	NA	AT1G23710
14	NA	NA	AT1G24530
15	NA	NA	AT1G25560
16	NA	NA	AT1G27050
17	NA	NA	AT1G30110
18	NA	NA	AT1G32460
19	NA	NA	AT1G32740
20	NA	NA	AT1G35140
21	NA	NA	AT1G35510
22	NA	NA	AT1G44446
23	NA	NA	AT1G49200
24	NA	NA	AT1G49500
25	NA	NA	AT1G49730
26	NA	NA	AT1G57680
27	NA	NA	AT1G58290
28	NA	NA	AT1G60010
29	NA	NA	AT1G65930
30	NA	NA	AT1G66160
31	NA	NA	AT1G68440
32	NA	NA	AT1G69570
33	NA	NA	AT1G70090
34	NA	NA	AT1G70290
35	NA	NA	AT1G72820
36	NA	NA	AT1G73670
37	NA	NA	AT2G01140
38	NA	NA	AT2G01850
39	NA	NA	AT2G03730
40	NA	NA	AT2G05790
41	NA	NA	AT2G18090
42	NA	NA	AT2G22990
43	NA	NA	AT2G23460
44	NA	NA	AT2G24550
45	NA	NA	AT2G24765
46	NA	NA	AT2G27500
47	NA	NA	AT2G33310
48	NA	NA	AT2G34710
49	NA	NA	AT2G39250
50	NA	NA	AT2G40000
51	NA	NA	AT2G40970
52	NA	NA	AT2G41290
53	NA	NA	AT2G41630
54	NA	NA	AT2G42870
55	NA	NA	AT2G44920
56	NA	NA	AT2G45880
57	NA	NA	AT2G46830
58	NA	NA	AT2G47940
59	NA	NA	AT3G01560
60	NA	NA	AT3G02140
61	NA	NA	AT3G04730
62	NA	NA	AT3G16240
63	NA	NA	AT3G16830
64	NA	NA	AT3G16850
65	NA	NA	AT3G23030
66	NA	NA	AT3G24670
67	NA	NA	AT3G26810
68	NA	NA	AT3G27020
69	NA	NA	AT3G29240
70	NA	NA	AT3G30775
71	NA	NA	AT3G44720
72	NA	NA	AT3G52060
73	NA	NA	AT3G52450
74	NA	NA	AT3G55430
75	NA	NA	AT3G55560
76	NA	NA	AT3G55980
77	NA	NA	AT3G57410
78	NA	NA	AT3G57880
79	NA	NA	AT3G62720
80	NA	NA	AT3G62980
81	NA	NA	AT4G01720
82	NA	NA	AT4G03110
83	NA	NA	AT4G18710
84	NA	NA	AT4G28240
85	NA	NA	AT4G32300
86	NA	NA	AT4G34610
87	NA	NA	AT4G38470
88	NA	NA	AT5G05440
89	NA	NA	AT5G06980
90	NA	NA	AT5G10450
91	NA	NA	AT5G11090
92	NA	NA	AT5G16830
93	NA	NA	AT5G18630
94	NA	NA	AT5G24870
95	NA	NA	AT5G24930
96	NA	NA	AT5G25140
97	NA	NA	AT5G25280
98	NA	NA	AT5G28770
99	NA	NA	AT5G28840
100	NA	NA	AT5G41080
101	NA	NA	AT5G49170
102	NA	NA	AT5G51460
103	NA	NA	AT5G52570
104	NA	NA	AT5G53160
105	NA	NA	AT5G54260
106	NA	NA	AT5G58430
107	NA	NA	AT5G58650
108	NA	NA	AT5G58950
109	NA	NA	AT5G63280
110	NA	NA	AT5G64850
