p.value	enrichment	genes
1	5.92103166517525e-21	1.862744132384	AT1G01060
2	NA	NA	AT1G01490
3	NA	NA	AT1G01550
4	NA	NA	AT1G01720
5	NA	NA	AT1G06410
6	NA	NA	AT1G06570
7	NA	NA	AT1G09070
8	NA	NA	AT1G11260
9	NA	NA	AT1G12500
10	NA	NA	AT1G13080
11	NA	NA	AT1G13260
12	NA	NA	AT1G14740
13	NA	NA	AT1G19110
14	NA	NA	AT1G19770
15	NA	NA	AT1G21050
16	NA	NA	AT1G23050
17	NA	NA	AT1G23710
18	NA	NA	AT1G24530
19	NA	NA	AT1G25560
20	NA	NA	AT1G27050
21	NA	NA	AT1G30110
22	NA	NA	AT1G30570
23	NA	NA	AT1G32460
24	NA	NA	AT1G32740
25	NA	NA	AT1G35140
26	NA	NA	AT1G35510
27	NA	NA	AT1G44446
28	NA	NA	AT1G48260
29	NA	NA	AT1G49200
30	NA	NA	AT1G49240
31	NA	NA	AT1G49500
32	NA	NA	AT1G49730
33	NA	NA	AT1G55960
34	NA	NA	AT1G56590
35	NA	NA	AT1G57680
36	NA	NA	AT1G58290
37	NA	NA	AT1G60010
38	NA	NA	AT1G63690
39	NA	NA	AT1G65590
40	NA	NA	AT1G65870
41	NA	NA	AT1G65930
42	NA	NA	AT1G66160
43	NA	NA	AT1G66230
44	NA	NA	AT1G68440
45	NA	NA	AT1G69570
46	NA	NA	AT1G69800
47	NA	NA	AT1G70090
48	NA	NA	AT1G70290
49	NA	NA	AT1G71340
50	NA	NA	AT1G72820
51	NA	NA	AT1G73670
52	NA	NA	AT1G76600
53	NA	NA	AT1G79630
54	NA	NA	AT1G79750
55	NA	NA	AT1G80920
56	NA	NA	AT2G01140
57	NA	NA	AT2G01600
58	NA	NA	AT2G01850
59	NA	NA	AT2G02710
60	NA	NA	AT2G04795
61	NA	NA	AT2G05790
62	NA	NA	AT2G06850
63	NA	NA	AT2G15080
64	NA	NA	AT2G18090
65	NA	NA	AT2G18300
66	NA	NA	AT2G18700
67	NA	NA	AT2G20670
68	NA	NA	AT2G21120
69	NA	NA	AT2G22990
70	NA	NA	AT2G23460
71	NA	NA	AT2G23810
72	NA	NA	AT2G24550
73	NA	NA	AT2G24765
74	NA	NA	AT2G27500
75	NA	NA	AT2G28110
76	NA	NA	AT2G30010
77	NA	NA	AT2G31820
78	NA	NA	AT2G34710
79	NA	NA	AT2G39250
80	NA	NA	AT2G39570
81	NA	NA	AT2G39660
82	NA	NA	AT2G40000
83	NA	NA	AT2G40970
84	NA	NA	AT2G41290
85	NA	NA	AT2G41630
86	NA	NA	AT2G42870
87	NA	NA	AT2G43680
88	NA	NA	AT2G43900
89	NA	NA	AT2G44920
90	NA	NA	AT2G45880
91	NA	NA	AT2G46030
92	NA	NA	AT2G46220
93	NA	NA	AT2G46450
94	NA	NA	AT2G46830
95	NA	NA	AT2G47940
96	NA	NA	AT3G01560
97	NA	NA	AT3G02140
98	NA	NA	AT3G04730
99	NA	NA	AT3G12320
100	NA	NA	AT3G15450
101	NA	NA	AT3G16240
102	NA	NA	AT3G16620
103	NA	NA	AT3G16800
104	NA	NA	AT3G16830
105	NA	NA	AT3G16850
106	NA	NA	AT3G19850
107	NA	NA	AT3G22420
108	NA	NA	AT3G23030
109	NA	NA	AT3G23805
110	NA	NA	AT3G24550
111	NA	NA	AT3G26510
112	NA	NA	AT3G26810
113	NA	NA	AT3G28040
114	NA	NA	AT3G29240
115	NA	NA	AT3G30775
116	NA	NA	AT3G44380
117	NA	NA	AT3G44720
118	NA	NA	AT3G45730
119	NA	NA	AT3G46600
120	NA	NA	AT3G46820
121	NA	NA	AT3G47250
122	NA	NA	AT3G47420
123	NA	NA	AT3G50740
124	NA	NA	AT3G52450
125	NA	NA	AT3G54500
126	NA	NA	AT3G55430
127	NA	NA	AT3G55560
128	NA	NA	AT3G55980
129	NA	NA	AT3G57410
130	NA	NA	AT3G57880
131	NA	NA	AT3G59950
132	NA	NA	AT3G60080
133	NA	NA	AT3G61440
134	NA	NA	AT3G62720
135	NA	NA	AT3G62980
136	NA	NA	AT4G00710
137	NA	NA	AT4G00750
138	NA	NA	AT4G01720
139	NA	NA	AT4G03030
140	NA	NA	AT4G03110
141	NA	NA	AT4G03140
142	NA	NA	AT4G05070
143	NA	NA	AT4G08920
144	NA	NA	AT4G08980
145	NA	NA	AT4G09890
146	NA	NA	AT4G11330
147	NA	NA	AT4G12420
148	NA	NA	AT4G14500
149	NA	NA	AT4G16990
150	NA	NA	AT4G17080
151	NA	NA	AT4G17460
152	NA	NA	AT4G18140
153	NA	NA	AT4G18710
154	NA	NA	AT4G19200
155	NA	NA	AT4G21510
156	NA	NA	AT4G25080
157	NA	NA	AT4G25170
158	NA	NA	AT4G25700
159	NA	NA	AT4G28240
160	NA	NA	AT4G28610
161	NA	NA	AT4G30210
162	NA	NA	AT4G32300
163	NA	NA	AT4G33240
164	NA	NA	AT4G34540
165	NA	NA	AT4G34610
166	NA	NA	AT4G36860
167	NA	NA	AT4G38060
168	NA	NA	AT4G38470
169	NA	NA	AT5G01340
170	NA	NA	AT5G03520
171	NA	NA	AT5G04040
172	NA	NA	AT5G05440
173	NA	NA	AT5G05690
174	NA	NA	AT5G05860
175	NA	NA	AT5G06780
176	NA	NA	AT5G06980
177	NA	NA	AT5G10450
178	NA	NA	AT5G11090
179	NA	NA	AT5G14120
180	NA	NA	AT5G16830
181	NA	NA	AT5G18630
182	NA	NA	AT5G21170
183	NA	NA	AT5G24870
184	NA	NA	AT5G24890
185	NA	NA	AT5G24930
186	NA	NA	AT5G25240
187	NA	NA	AT5G25280
188	NA	NA	AT5G26210
189	NA	NA	AT5G27350
190	NA	NA	AT5G28840
191	NA	NA	AT5G38560
192	NA	NA	AT5G39080
193	NA	NA	AT5G41080
194	NA	NA	AT5G48540
195	NA	NA	AT5G49170
196	NA	NA	AT5G49480
197	NA	NA	AT5G51460
198	NA	NA	AT5G52570
199	NA	NA	AT5G53970
200	NA	NA	AT5G54380
201	NA	NA	AT5G58430
202	NA	NA	AT5G58650
203	NA	NA	AT5G61670
204	NA	NA	AT5G62130
205	NA	NA	AT5G64410
206	NA	NA	AT5G64850
207	NA	NA	AT5G65700
